Time (s): 4.42
1363	IL: 1. 
1	gag: 2505. pol: 132. IL: 2637. 
Time (s): 4.422
1363	IL: 1. 
11	gag: 1. IL: 1. 
1	pol: 1. IL: 1. 
3	gag: 2. IL: 2. 
1	gag: 2488. pol: 131. IL: 2619. 
Time (s): 4.427
1363	IL: 1. 
19	gag: 1. IL: 1. 
2	pol: 1. IL: 1. 
8	gag: 2. IL: 2. 
4	gag: 3. IL: 3. 
1	gag: 2418. pol: 126. IL: 2544. 
2	gag: 3. pol: 1. IL: 4. 
1	gag: 9. IL: 9. 
1	gag: 6. IL: 6. 
1	gag: 7. pol: 1. IL: 8. 
1	gag: 12. pol: 1. IL: 13. 
Time (s): 4.432
1363	IL: 1. 
36	gag: 1. IL: 1. 
2	pol: 1. IL: 1. 
13	gag: 2. IL: 2. 
1	gag: 9. IL: 9. 
1	gag: 8. IL: 8. 
3	gag: 3. IL: 3. 
1	gag: 7. pol: 1. IL: 8. 
1	gag: 14. pol: 1. IL: 15. 
1	gag: 3. pol: 1. IL: 4. 
1	gag: 6. pol: 1. IL: 7. 
1	gag: 2387. pol: 126. IL: 2513. 
Time (s): 4.437
1363	IL: 1. 
30	gag: 1. IL: 1. 
8	gag: 3. IL: 3. 
13	gag: 2. IL: 2. 
1	gag: 6. IL: 6. 
1	gag: 3. pol: 1. IL: 4. 
1	gag: 7. pol: 1. IL: 8. 
1	gag: 15. pol: 1. IL: 16. 
1	gag: 4. pol: 1. IL: 5. 
1	pol: 1. IL: 1. 
1	gag: 4. IL: 4. 
1	gag: 6. pol: 1. IL: 7. 
1	gag: 2380. pol: 126. IL: 2506. 
Time (s): 4.442
1363	IL: 1. 
29	gag: 1. IL: 1. 
18	gag: 2. IL: 2. 
2	gag: 6. IL: 6. 
1	gag: 5. IL: 5. 
4	gag: 3. IL: 3. 
1	gag: 4. pol: 1. IL: 5. 
1	gag: 4. IL: 4. 
2	pol: 1. IL: 1. 
1	gag: 1. pol: 1. IL: 2. 
1	gag: 5. pol: 1. IL: 6. 
1	gag: 16. pol: 1. IL: 17. 
1	gag: 9. pol: 1. IL: 10. 
1	gag: 2372. pol: 125. IL: 2497. 
Time (s): 4.447
1363	IL: 1. 
35	gag: 1. IL: 1. 
20	gag: 2. IL: 2. 
2	gag: 6. IL: 6. 
3	gag: 3. IL: 3. 
2	gag: 3. pol: 1. IL: 4. 
1	gag: 4. IL: 4. 
1	pol: 1. IL: 1. 
1	gag: 2. pol: 1. IL: 3. 
1	gag: 5. pol: 1. IL: 6. 
1	gag: 15. pol: 1. IL: 16. 
1	gag: 7. IL: 7. 
1	gag: 2362. pol: 125. IL: 2487. 
1	gag: 8. pol: 1. IL: 9. 
Time (s): 4.452
1363	IL: 1. 
35	gag: 1. IL: 1. 
3	gag: 4. IL: 4. 
1	gag: 2355. pol: 125. IL: 2480. 
18	gag: 2. IL: 2. 
1	gag: 9. IL: 9. 
4	gag: 3. IL: 3. 
2	gag: 5. pol: 1. IL: 6. 
2	pol: 1. IL: 1. 
1	gag: 2. pol: 1. IL: 3. 
1	gag: 6. IL: 6. 
1	gag: 5. IL: 5. 
1	gag: 4. pol: 1. IL: 5. 
1	gag: 19. pol: 1. IL: 20. 
Time (s): 4.457
1363	IL: 1. 
36	gag: 1. IL: 1. 
1	gag: 5. IL: 5. 
1	gag: 2353. pol: 125. IL: 2478. 
15	gag: 2. IL: 2. 
1	gag: 19. pol: 1. IL: 20. 
3	gag: 3. IL: 3. 
1	gag: 13. IL: 13. 
2	gag: 5. pol: 1. IL: 6. 
2	pol: 1. IL: 1. 
1	gag: 9. IL: 9. 
1	gag: 8. IL: 8. 
1	gag: 3. pol: 1. IL: 4. 
1	gag: 6. pol: 1. IL: 7. 
1	gag: 4. IL: 4. 
Time (s): 4.462
1363	IL: 1. 
31	gag: 1. IL: 1. 
17	gag: 2. IL: 2. 
1	gag: 2350. pol: 125. IL: 2475. 
1	gag: 19. pol: 1. IL: 20. 
1	gag: 3. pol: 1. IL: 4. 
5	gag: 3. IL: 3. 
2	gag: 5. pol: 1. IL: 6. 
1	pol: 1. IL: 1. 
1	gag: 15. pol: 1. IL: 16. 
1	gag: 7. IL: 7. 
1	gag: 9. IL: 9. 
1	gag: 8. IL: 8. 
1	gag: 4. pol: 1. IL: 5. 
Time (s): 4.467
1363	IL: 1. 
30	gag: 1. IL: 1. 
18	gag: 2. IL: 2. 
1	gag: 2346. pol: 125. IL: 2471. 
7	gag: 3. IL: 3. 
1	gag: 15. pol: 1. IL: 16. 
1	gag: 1. pol: 1. IL: 2. 
2	gag: 4. IL: 4. 
2	gag: 5. pol: 1. IL: 6. 
1	pol: 1. IL: 1. 
1	gag: 19. pol: 1. IL: 20. 
1	gag: 7. IL: 7. 
1	gag: 8. IL: 8. 
1	gag: 4. pol: 1. IL: 5. 
Time (s): 4.472
1363	IL: 1. 
30	gag: 1. IL: 1. 
20	gag: 2. IL: 2. 
1	gag: 2343. pol: 125. IL: 2468. 
4	gag: 3. IL: 3. 
1	gag: 1. pol: 1. IL: 2. 
1	gag: 9. IL: 9. 
2	gag: 5. pol: 1. IL: 6. 
2	gag: 7. IL: 7. 
1	pol: 1. IL: 1. 
1	gag: 22. pol: 1. IL: 23. 
1	gag: 16. pol: 1. IL: 17. 
1	gag: 4. IL: 4. 
1	gag: 4. pol: 1. IL: 5. 
Time (s): 4.477
1363	IL: 1. 
28	gag: 1. IL: 1. 
19	gag: 2. IL: 2. 
1	gag: 2339. pol: 125. IL: 2464. 
1	gag: 5. IL: 5. 
1	gag: 6. pol: 1. IL: 7. 
1	gag: 1. pol: 1. IL: 2. 
3	gag: 3. IL: 3. 
1	gag: 12. pol: 1. IL: 13. 
1	gag: 5. pol: 1. IL: 6. 
1	pol: 1. IL: 1. 
1	gag: 7. IL: 7. 
1	gag: 19. pol: 1. IL: 20. 
1	gag: 8. IL: 8. 
1	gag: 25. IL: 25. 
1	gag: 3. pol: 1. IL: 4. 
Time (s): 4.482
1363	IL: 1. 
34	gag: 1. IL: 1. 
14	gag: 2. IL: 2. 
1	gag: 6. pol: 1. IL: 7. 
1	gag: 5. pol: 1. IL: 6. 
1	gag: 13. pol: 1. IL: 14. 
1	gag: 2337. pol: 125. IL: 2462. 
1	pol: 1. IL: 1. 
1	gag: 9. IL: 9. 
3	gag: 3. IL: 3. 
1	gag: 2. pol: 1. IL: 3. 
1	gag: 4. pol: 1. IL: 5. 
1	gag: 19. pol: 1. IL: 20. 
1	gag: 8. IL: 8. 
1	gag: 31. IL: 31. 
Time (s): 4.487
1363	IL: 1. 
1	gag: 2336. pol: 125. IL: 2461. 
18	gag: 2. IL: 2. 
32	gag: 1. IL: 1. 
1	gag: 6. pol: 1. IL: 7. 
1	gag: 5. pol: 1. IL: 6. 
1	gag: 13. pol: 1. IL: 14. 
1	gag: 10. IL: 10. 
1	pol: 1. IL: 1. 
1	gag: 2. pol: 1. IL: 3. 
1	gag: 4. pol: 1. IL: 5. 
2	gag: 3. IL: 3. 
1	gag: 19. pol: 1. IL: 20. 
1	gag: 8. IL: 8. 
1	gag: 28. IL: 28. 
Time (s): 4.492
1363	IL: 1. 
1	gag: 2335. pol: 125. IL: 2460. 
18	gag: 2. IL: 2. 
34	gag: 1. IL: 1. 
1	gag: 6. pol: 1. IL: 7. 
1	gag: 2. pol: 1. IL: 3. 
1	pol: 1. IL: 1. 
1	gag: 4. pol: 1. IL: 5. 
2	gag: 3. IL: 3. 
1	gag: 8. IL: 8. 
1	gag: 16. pol: 1. IL: 17. 
1	gag: 28. IL: 28. 
1	gag: 17. pol: 1. IL: 18. 
1	gag: 13. pol: 1. IL: 14. 
Time (s): 4.497
1363	IL: 1. 
1	gag: 2333. pol: 125. IL: 2458. 
38	gag: 1. IL: 1. 
21	gag: 2. IL: 2. 
2	gag: 6. pol: 1. IL: 7. 
1	gag: 2. pol: 1. IL: 3. 
1	pol: 1. IL: 1. 
1	gag: 3. IL: 3. 
1	gag: 9. IL: 9. 
1	gag: 20. pol: 1. IL: 21. 
1	gag: 9. pol: 1. IL: 10. 
1	gag: 11. pol: 1. IL: 12. 
1	gag: 26. IL: 26. 
Time (s): 4.502
1363	IL: 1. 
1	gag: 2329. pol: 125. IL: 2454. 
20	gag: 2. IL: 2. 
1	gag: 10. IL: 10. 
33	gag: 1. IL: 1. 
2	gag: 3. IL: 3. 
1	gag: 24. IL: 24. 
1	gag: 2. pol: 1. IL: 3. 
1	gag: 10. pol: 1. IL: 11. 
1	pol: 1. IL: 1. 
1	gag: 7. pol: 1. IL: 8. 
1	gag: 11. pol: 1. IL: 12. 
1	gag: 13. pol: 1. IL: 14. 
