Time (s),leg
0,0
0.001,18
0.002,33
0.003,44
0.004,56
0.005,77
0.006,98
0.007,121
0.008,127
0.009,140
0.01,157
0.011,178
0.012,189
0.013,208
0.014,215
0.015,225
0.016,229
0.017,232
0.018,254
0.019,258
0.02,260
0.021,264
0.022,264
0.023,279
0.024,281
0.025,286
0.026,286
0.027,286
0.028,286
0.029,286
0.03,290
0.031,294
0.032,297
0.033,297
0.034,298
0.035,300
0.036,300
0.037,302
0.038,309
0.039,311
0.04,314
0.041,314
0.042,314
0.043,314
0.044,314
0.045,316
0.046,320
0.047,320
0.048,320
0.049,320
0.05,324
0.051,327
0.052,327
0.053,330
0.054,330
0.055,330
0.056,330
0.057,330
0.058,331
0.059,331
0.06,334
0.061,339
0.062,339
0.063,339
0.064,339
0.065,339
0.066,339
0.067,339
0.068,342
0.069,342
0.07,342
0.071,342
0.072,342
0.073,342
0.074,346
0.075,346
0.076,351
0.077,351
0.078,351
0.079,351
0.08,351
0.081,351
0.082,351
0.083,351
0.084,351
0.085,351
0.086,351
0.087,351
0.088,357
0.089,357
0.09,357
0.091,357
0.092,357
0.093,357
0.094,357
0.095,357
0.096,357
0.097,357
0.098,360
0.099,360
0.1,360
0.101,360
0.102,360
0.103,360
0.104,360
0.105,360
0.106,360
0.107,360
0.108,360
0.109,360
0.11,367
0.111,367
0.112,367
0.113,367
0.114,367
0.115,367
0.116,367
0.117,367
0.118,367
0.119,367
0.12,367
0.121,367
0.122,367
0.123,367
0.124,367
0.125,367
0.126,367
0.127,367
0.128,367
0.129,367
0.13,367
0.131,367
0.132,367
0.133,367
0.134,367
0.135,367
0.136,367
0.137,367
0.138,371
0.139,371
0.14,371
0.141,371
0.142,371
0.143,371
0.144,371
0.145,371
0.146,370
0.147,370
0.148,370
0.149,370
0.15,370
0.151,370
0.152,370
0.153,370
0.154,370
0.155,370
0.156,370
0.157,374
0.158,374
0.159,374
0.16,374
0.161,374
0.162,374
0.163,374
0.164,374
0.165,374
0.166,374
0.167,374
0.168,374
0.169,374
0.17,384
0.171,384
0.172,384
0.173,384
0.174,384
0.175,384
0.176,384
0.177,384
0.178,384
0.179,384
0.18,384
0.181,384
0.182,384
0.183,384
0.184,384
0.185,384
0.186,384
0.187,384
0.188,384
0.189,384
0.19,384
0.191,384
0.192,384
0.193,384
0.194,384
0.195,384
0.196,384
0.197,384
0.198,383
0.199,383
0.2,383
0.201,383
0.202,383
0.203,383
0.204,383
0.205,383
0.206,383
0.207,383
0.208,383
0.209,383
0.21,383
0.211,383
0.212,383
0.213,383
0.214,383
0.215,383
0.216,383
0.217,393
0.218,393
0.219,393
0.22,393
0.221,393
0.222,393
0.223,393
0.224,393
0.225,393
0.226,393
0.227,393
0.228,393
0.229,393
0.23,393
0.231,393
0.232,393
0.233,393
0.234,393
0.235,393
0.236,393
0.237,393
0.238,393
0.239,393
0.24,393
0.241,393
0.242,393
0.243,393
0.244,393
0.245,393
0.246,393
0.247,393
0.248,397
0.249,397
0.25,397
0.251,397
0.252,397
0.253,397
0.254,397
0.255,397
0.256,397
0.257,397
0.258,397
0.259,397
0.26,397
0.261,397
0.262,397
0.263,397
0.264,397
0.265,397
0.266,397
0.267,397
0.268,397
0.269,397
0.27,397
0.271,397
0.272,397
0.273,397
0.274,397
0.275,397
0.276,397
0.277,397
0.278,397
0.279,397
0.28,397
0.281,397
0.282,397
0.283,405
0.284,405
0.285,405
0.286,405
0.287,405
0.288,405
0.289,405
0.29,405
0.291,405
0.292,405
0.293,405
0.294,405
0.295,405
0.296,405
0.297,405
0.298,405
0.299,405
0.3,405
0.301,405
0.302,405
0.303,405
0.304,405
0.305,405
0.306,405
0.307,405
0.308,405
0.309,405
0.31,405
0.311,405
0.312,405
0.313,405
0.314,405
0.315,405
0.316,405
0.317,405
0.318,405
0.319,405
0.32,405
0.321,405
0.322,405
0.323,405
0.324,405
0.325,405
0.326,405
0.327,405
0.328,405
0.329,405
0.33,405
0.331,405
0.332,405
0.333,405
0.334,405
0.335,405
0.336,405
0.337,405
0.338,405
0.339,405
0.34,405
0.341,405
0.342,405
0.343,405
0.344,405
0.345,405
0.346,405
0.347,405
0.348,405
0.349,405
0.35,405
0.351,405
0.352,405
0.353,405
0.354,405
0.355,405
0.356,405
0.357,405
0.358,405
0.359,405
0.36,405
0.361,405
0.362,405
0.363,405
0.364,405
0.365,405
0.366,405
0.367,405
0.368,405
0.369,405
0.37,405
0.371,405
0.372,405
0.373,405
0.374,405
0.375,405
0.376,405
0.377,405
0.378,405
0.379,405
0.38,405
0.381,405
0.382,405
0.383,405
0.384,405
0.385,405
0.386,405
0.387,405
0.388,405
0.389,405
0.39,405
0.391,405
0.392,405
0.393,405
0.394,405
0.395,405
0.396,405
0.397,405
0.398,405
0.399,405
0.4,405
0.401,405
0.402,405
0.403,405
0.404,405
0.405,405
0.406,405
0.407,405
0.408,405
0.409,405
0.41,405
0.411,405
0.412,405
0.413,405
0.414,405
0.415,405
0.416,405
0.417,405
0.418,405
0.419,405
0.42,405
0.421,405
0.422,405
0.423,405
0.424,405
0.425,405
0.426,405
0.427,405
0.428,405
0.429,405
0.43,405
0.431,405
0.432,405
0.433,405
0.434,405
0.435,405
0.436,405
0.437,405
0.438,405
0.439,405
0.44,405
0.441,405
0.442,405
0.443,405
0.444,405
0.445,405
0.446,405
0.447,405
0.448,405
0.449,405
0.45,405
0.451,405
0.452,405
0.453,405
0.454,405
0.455,405
0.456,405
0.457,405
0.458,405
0.459,405
0.46,405
0.461,405
0.462,405
0.463,405
0.464,405
0.465,405
0.466,405
0.467,405
0.468,405
0.469,405
0.47,405
0.471,405
0.472,405
0.473,405
0.474,405
0.475,405
0.476,405
0.477,405
0.478,405
0.479,405
0.48,405
0.481,405
0.482,405
0.483,405
0.484,405
0.485,405
0.486,405
0.487,405
0.488,405
0.489,405
0.49,405
0.491,405
0.492,405
0.493,405
0.494,405
0.495,405
0.496,405
0.497,405
0.498,405
0.499,405
0.5,405
0.501,405
0.502,405
0.503,405
0.504,405
0.505,405
0.506,405
0.507,405
0.508,405
0.509,405
0.51,405
0.511,405
0.512,405
0.513,405
0.514,405
0.515,405
0.516,405
0.517,405
0.518,405
0.519,405
0.52,405
0.521,405
0.522,405
0.523,405
0.524,405
0.525,405
0.526,405
0.527,405
0.528,405
0.529,405
0.53,405
0.531,405
0.532,405
0.533,405
0.534,405
0.535,405
0.536,405
0.537,405
0.538,405
0.539,405
0.54,405
0.541,405
0.542,405
0.543,405
0.544,405
0.545,405
0.546,405
0.547,405
0.548,405
0.549,405
0.55,405
0.551,405
0.552,405
0.553,405
0.554,405
0.555,405
0.556,405
0.557,405
0.558,405
0.559,405
0.56,405
0.561,405
0.562,405
0.563,405
0.564,405
0.565,405
0.566,405
0.567,405
0.568,405
0.569,405
0.57,405
0.571,405
0.572,405
0.573,405
0.574,405
0.575,405
0.576,405
0.577,405
0.578,405
0.579,405
0.58,405
0.581,405
0.582,405
0.583,405
0.584,405
0.585,405
0.586,405
0.587,405
0.588,405
0.589,405
0.59,405
0.591,405
0.592,405
0.593,405
0.594,405
0.595,405
0.596,405
0.597,405
0.598,405
0.599,405
0.6,405
0.601,405
0.602,405
0.603,405
0.604,405
0.605,405
0.606,405
0.607,405
0.608,405
0.609,405
0.61,405
0.611,405
0.612,405
0.613,405
0.614,405
0.615,405
0.616,405
0.617,405
0.618,405
0.619,405
0.62,405
0.621,405
0.622,405
0.623,405
0.624,405
0.625,405
0.626,405
0.627,405
0.628,405
0.629,405
0.63,405
0.631,405
0.632,405
0.633,405
0.634,405
0.635,405
0.636,405
0.637,405
0.638,405
0.639,405
0.64,405
0.641,405
0.642,405
0.643,405
0.644,405
0.645,405
0.646,405
0.647,405
0.648,405
0.649,405
0.65,405
0.651,405
0.652,405
0.653,405
0.654,405
0.655,405
0.656,405
0.657,405
0.658,405
0.659,405
0.66,405
0.661,405
0.662,405
0.663,405
0.664,405
0.665,405
0.666,405
0.667,405
0.668,405
0.669,405
0.67,405
0.671,405
0.672,405
0.673,405
0.674,405
0.675,405
0.676,405
0.677,405
0.678,405
0.679,405
0.68,405
0.681,405
0.682,405
0.683,405
0.684,405
0.685,405
0.686,405
0.687,405
0.688,405
0.689,405
0.69,405
0.691,405
0.692,405
0.693,405
0.694,405
0.695,405
0.696,405
0.697,405
0.698,405
0.699,405
0.7,405
0.701,405
0.702,405
0.703,405
0.704,405
0.705,405
0.706,405
0.707,405
0.708,405
0.709,405
0.71,405
0.711,405
0.712,405
0.713,405
0.714,405
0.715,405
0.716,405
0.717,405
0.718,405
0.719,405
0.72,405
0.721,405
0.722,405
0.723,405
0.724,405
0.725,405
0.726,405
0.727,405
0.728,405
0.729,405
0.73,405
0.731,405
0.732,405
0.733,405
0.734,405
0.735,405
0.736,405
0.737,405
0.738,405
0.739,405
0.74,405
0.741,405
0.742,405
0.743,405
0.744,405
0.745,405
0.746,405
0.747,405
0.748,405
0.749,405
0.75,405
0.751,405
0.752,405
0.753,405
0.754,405
0.755,405
0.756,405
0.757,405
0.758,405
0.759,405
0.76,405
0.761,405
0.762,405
0.763,405
0.764,405
0.765,405
0.766,405
0.767,405
0.768,405
0.769,405
0.77,405
0.771,405
0.772,405
0.773,405
0.774,405
0.775,405
0.776,405
0.777,405
0.778,405
0.779,405
0.78,405
0.781,405
0.782,405
0.783,405
0.784,405
0.785,405
0.786,405
0.787,405
0.788,405
0.789,405
0.79,405
0.791,405
0.792,405
0.793,405
0.794,405
0.795,405
0.796,405
0.797,405
0.798,405
0.799,405
0.8,405
0.801,405
0.802,405
0.803,405
0.804,405
0.805,405
0.806,405
0.807,405
0.808,405
0.809,405
0.81,405
0.811,405
0.812,405
0.813,405
0.814,405
0.815,405
0.816,405
0.817,405
0.818,405
0.819,405
0.82,405
0.821,405
0.822,405
0.823,405
0.824,405
0.825,405
0.826,405
0.827,405
0.828,405
0.829,405
0.83,405
0.831,405
0.832,405
0.833,405
0.834,405
0.835,405
0.836,405
0.837,405
0.838,405
0.839,405
0.84,405
0.841,405
0.842,405
0.843,405
0.844,405
0.845,405
0.846,405
0.847,405
0.848,405
0.849,405
0.85,405
0.851,405
0.852,405
0.853,405
0.854,405
0.855,405
0.856,405
0.857,405
0.858,405
0.859,405
0.86,405
0.861,405
0.862,405
0.863,405
0.864,405
0.865,405
0.866,405
0.867,405
0.868,405
0.869,405
0.87,405
0.871,405
0.872,405
0.873,405
0.874,405
0.875,405
0.876,405
0.877,405
0.878,405
0.879,405
0.88,405
0.881,405
0.882,405
0.883,405
0.884,405
0.885,405
0.886,405
0.887,405
0.888,405
0.889,405
0.89,405
0.891,405
0.892,405
0.893,405
0.894,405
0.895,405
0.896,405
0.897,405
0.898,405
0.899,405
0.9,405
0.901,405
0.902,405
0.903,405
0.904,405
0.905,405
0.906,405
0.907,405
0.908,405
0.909,405
0.91,405
0.911,405
0.912,405
0.913,405
0.914,405
0.915,405
0.916,405
0.917,405
0.918,405
0.919,405
0.92,405
0.921,405
0.922,405
0.923,405
0.924,405
0.925,405
0.926,405
0.927,405
0.928,405
0.929,405
0.93,405
0.931,405
0.932,405
0.933,405
0.934,405
0.935,405
0.936,405
0.937,405
0.938,405
0.939,405
0.94,405
0.941,405
0.942,405
0.943,405
0.944,405
0.945,405
0.946,405
0.947,405
0.948,405
0.949,405
0.95,405
0.951,405
0.952,405
0.953,405
0.954,405
0.955,405
0.956,405
0.957,405
0.958,405
0.959,405
0.96,405
0.961,405
0.962,405
0.963,405
0.964,405
0.965,405
0.966,405
0.967,405
0.968,405
0.969,405
0.97,405
0.971,405
0.972,405
0.973,405
0.974,405
0.975,405
0.976,405
0.977,405
0.978,405
0.979,405
0.98,405
0.981,405
0.982,405
0.983,405
0.984,405
0.985,405
0.986,405
0.987,405
0.988,405
0.989,405
0.99,405
0.991,405
0.992,405
0.993,405
0.994,405
0.995,405
0.996,405
0.997,405
0.998,404
0.999,405
1,405
