Time (s),A(lg1),A(lg2),A(lg3),A(lg4),A(lg5),B(lg1),B(lg2),B(lg3),B(lg4),B(lg5),A(lg1!1).A(lg1!1),A(lg2!1).A(lg2!1),A(lg3!1).A(lg3!1),A(lg4!1).A(lg4!1),A(lg5!1).A(lg5!1),A(lg1!1).A(lg2!1),A(lg1!1).A(lg3!1),A(lg1!1).A(lg4!1),A(lg1!1).A(lg5!1),A(lg2!1).A(lg3!1),A(lg2!1).A(lg4!1),A(lg2!1).A(lg5!1),A(lg3!1).A(lg4!1),A(lg3!1).A(lg5!1),A(lg4!1).A(lg5!1),B(lg1!1).B(lg1!1),B(lg2!1).B(lg2!1),B(lg3!1).B(lg3!1),B(lg4!1).B(lg4!1),B(lg5!1).B(lg5!1),B(lg1!1).B(lg2!1),B(lg1!1).B(lg3!1),B(lg1!1).B(lg4!1),B(lg1!1).B(lg5!1),B(lg2!1).B(lg3!1),B(lg2!1).B(lg4!1),B(lg2!1).B(lg5!1),B(lg3!1).B(lg4!1),B(lg3!1).B(lg5!1),B(lg4!1).B(lg5!1),A(lg1!1).B(lg1!1),A(lg1!1).B(lg2!1),A(lg1!1).B(lg3!1),A(lg1!1).B(lg4!1),A(lg1!1).B(lg5!1),A(lg2!1).B(lg1!1),A(lg2!1).B(lg2!1),A(lg2!1).B(lg3!1),A(lg2!1).B(lg4!1),A(lg2!1).B(lg5!1),A(lg3!1).B(lg1!1),A(lg3!1).B(lg2!1),A(lg3!1).B(lg3!1),A(lg3!1).B(lg4!1),A(lg3!1).B(lg5!1),A(lg4!1).B(lg1!1),A(lg4!1).B(lg2!1),A(lg4!1).B(lg3!1),A(lg4!1).B(lg4!1),A(lg4!1).B(lg5!1),A(lg5!1).B(lg1!1),A(lg5!1).B(lg2!1),A(lg5!1).B(lg3!1),A(lg5!1).B(lg4!1),A(lg5!1).B(lg5!1)
0,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,99,99,99,97,96,99,97,98,100,96,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.002,96,98,97,95,95,96,96,96,100,95,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.003,89,92,94,95,93,89,91,90,94,89,0,1,0,0,1,0,3,0,1,0,0,0,1,0,3,1,1,0,0,2,1,2,2,1,0,0,1,2,2,0,2,2,1,1,1,1,1,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
0.004,86,91,90,90,88,85,91,89,92,88,0,1,1,0,1,0,3,1,2,0,0,1,2,1,4,1,1,0,0,2,1,2,3,1,0,0,1,2,2,1,3,2,1,1,1,1,1,2,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
0.005,84,88,87,89,87,83,87,89,91,87,0,1,1,0,1,0,3,1,3,1,0,1,3,1,4,1,1,0,0,2,1,2,4,1,0,0,2,2,2,1,4,2,1,1,1,1,3,2,1,1,0,2,0,0,1,1,1,1,0,0,1,0,1,0,0
0.006,84,87,86,88,83,80,84,84,90,84,0,1,1,0,1,0,3,1,3,1,0,2,3,1,4,1,1,0,0,2,1,3,5,1,1,0,2,2,4,1,4,2,1,1,1,1,3,2,1,1,0,2,0,0,2,1,2,1,0,0,2,1,2,0,0
0.007,77,84,83,82,77,72,82,80,88,81,0,1,1,0,2,1,3,1,4,2,0,2,4,1,5,2,1,0,0,2,1,5,5,1,1,0,2,2,4,1,5,2,1,3,3,2,3,2,1,1,0,3,0,0,2,3,2,2,0,1,2,2,3,0,0
0.008,74,82,79,81,74,69,78,77,85,79,0,1,2,0,2,1,3,1,6,3,1,2,4,1,5,2,1,0,0,2,1,5,6,1,2,1,3,3,5,1,5,3,1,3,3,2,3,2,1,1,1,3,0,0,2,3,2,2,0,1,3,2,3,0,0
0.009,70,79,76,80,71,67,77,78,82,74,1,1,2,0,3,1,3,2,6,3,1,2,4,2,5,2,1,0,0,3,1,4,6,1,2,2,3,3,5,2,6,3,1,3,3,3,3,2,2,2,2,3,0,0,3,3,2,2,0,1,3,2,3,0,0
