TIME(s)	'A,A'	'A,B'	'B,B'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0	0
0.001	7	4	4	0	0	0	0	0	0	0	15
0.002	10	17	17	11	0	0	0	0	0	0	33
0.003	12	27	26	20	0	0	0	0	0	0	45
0.004	14	37	32	30	0	0	0	0	0	0	53
0.005	17	40	40	37	0	0	0	0	0	0	60
0.006	20	43	44	42	0	0	0	0	0	0	65
0.007	23	49	47	45	0	0	0	0	0	0	74
0.008	24	55	47	47	0	0	0	0	0	0	79
0.009	26	57	49	48	0	0	0	0	0	0	84
0.01	29	61	49	51	0	0	0	0	0	0	88
0.011	34	61	52	54	2	0	0	0	0	0	93
0.012	43	65	54	63	2	0	0	0	0	0	99
0.013	45	67	59	68	2	0	0	0	0	0	103
0.014	47	69	65	74	3	0	0	0	0	0	107
0.015	49	75	71	84	3	0	0	0	0	0	111
0.016	54	77	74	86	5	0	0	0	0	0	119
0.017	56	78	75	87	7	0	0	0	0	0	122
0.018	61	82	75	92	8	0	0	0	0	0	126
0.019	63	84	76	95	9	0	0	0	0	0	128
0.02	68	90	78	105	14	0	0	0	0	0	131
0.021	70	93	79	108	16	0	0	0	0	0	134
0.022	70	94	80	108	19	0	0	0	0	0	136
0.023	71	94	79	108	20	0	0	0	0	0	137
0.024	71	95	79	108	25	0	0	0	0	0	139
0.025	71	96	80	108	27	1	0	0	0	0	141
0.026	75	100	81	114	30	1	0	0	0	0	144
0.027	82	104	88	128	33	1	0	0	0	0	148
0.028	84	112	90	138	33	1	0	0	0	0	150
0.029	87	111	95	144	34	1	0	0	0	0	152
0.03	95	112	96	151	35	1	0	0	0	0	155
0.031	95	112	96	151	36	1	0	0	0	0	155
0.032	98	115	97	156	36	1	0	0	0	0	157
0.033	98	115	97	156	36	1	0	0	0	0	157
0.034	102	120	99	164	36	1	0	0	0	0	160
0.035	106	121	100	168	38	1	0	0	0	0	162
0.036	106	125	101	172	39	1	0	0	0	0	163
0.037	109	128	102	177	40	1	0	0	0	0	165
0.038	109	128	102	177	41	1	0	0	0	0	165
0.039	112	130	104	181	41	1	0	0	0	0	168
0.04	112	130	104	181	42	1	0	0	0	0	168
0.041	112	130	104	181	42	1	0	0	0	0	168
0.042	112	130	104	181	43	1	0	0	0	0	168
0.043	112	130	104	181	45	1	0	0	0	0	168
0.044	112	130	104	181	47	1	0	0	0	0	168
0.045	112	131	108	185	49	1	0	0	0	0	169
0.046	112	131	108	185	50	1	0	0	0	0	169
0.047	112	131	108	185	50	1	0	0	0	0	169
0.048	112	131	108	185	52	1	0	0	0	0	169
0.049	112	131	108	185	52	1	0	0	0	0	169
0.05	112	132	108	185	53	1	0	0	0	0	170
0.051	112	135	109	188	53	1	0	0	0	0	171
0.052	112	135	109	188	53	1	0	0	0	0	171
0.053	114	136	109	190	54	1	0	0	0	0	172
0.054	114	136	109	190	54	1	0	0	0	0	172
0.055	117	136	109	192	54	1	0	0	0	0	173
0.056	117	136	109	192	56	1	0	0	0	0	173
0.057	117	136	109	192	57	1	0	0	0	0	173
0.058	117	136	109	192	58	1	0	0	0	0	173
0.059	117	136	109	192	58	1	0	0	0	0	173
0.06	117	136	109	192	61	1	0	0	0	0	173
0.061	117	136	109	192	61	1	0	0	0	0	173
0.062	117	136	109	192	61	1	0	0	0	0	173
0.063	117	136	109	192	61	1	0	0	0	0	173
0.064	117	136	109	192	62	1	0	0	0	0	173
0.065	117	136	109	192	62	1	0	0	0	0	173
0.066	117	136	109	192	63	1	0	0	0	0	173
0.067	117	136	109	192	63	1	0	0	0	0	173
0.068	117	136	109	192	63	1	0	0	0	0	173
0.069	117	136	109	192	63	1	0	0	0	0	173
0.07	119	136	109	193	63	1	0	0	0	0	174
0.071	119	136	109	193	65	1	0	0	0	0	174
0.072	119	136	109	193	66	1	0	0	0	0	174
0.073	119	136	109	193	67	1	0	0	0	0	174
0.074	119	136	109	193	68	1	0	0	0	0	174
0.075	119	136	109	193	69	1	0	0	0	0	174
0.076	119	136	109	193	70	1	0	0	0	0	174
0.077	119	136	109	193	71	1	0	0	0	0	174
0.078	119	135	109	192	71	1	0	0	0	0	174
0.079	119	136	109	193	71	1	0	0	0	0	174
0.08	119	136	109	193	71	1	0	0	0	0	174
0.081	119	136	109	193	72	1	0	0	0	0	174
0.082	119	136	109	193	73	1	0	0	0	0	174
0.083	119	136	109	193	74	1	0	0	0	0	174
0.084	119	136	109	193	74	1	0	0	0	0	174
0.085	121	136	109	194	75	1	0	0	0	0	175
0.086	121	136	109	194	77	1	0	0	0	0	175
0.087	121	136	109	194	77	1	0	0	0	0	175
0.088	121	136	109	194	78	1	0	0	0	0	175
0.089	121	143	111	202	78	1	0	0	0	0	176
0.09	121	143	111	202	79	1	0	0	0	0	176
0.091	121	143	111	202	79	1	0	0	0	0	176
0.092	121	143	111	202	81	1	0	0	0	0	176
0.093	121	143	111	202	82	1	0	0	0	0	176
0.094	121	143	111	202	82	1	0	0	0	0	176
0.095	121	143	111	202	83	1	0	0	0	0	176
0.096	121	143	111	202	83	1	0	0	0	0	176
0.097	121	143	111	202	84	1	0	0	0	0	176
0.098	121	143	111	202	84	1	0	0	0	0	176
0.099	121	143	110	202	85	1	0	0	0	0	176
0.1	121	143	110	202	86	1	0	0	0	0	176
0.101	121	143	110	202	87	1	0	0	0	0	176
0.102	121	143	110	202	88	1	0	0	0	0	176
0.103	122	147	110	206	89	1	0	0	0	0	177
0.104	122	147	110	206	90	1	0	0	0	0	177
0.105	122	147	110	206	90	1	0	0	0	0	177
0.106	122	147	110	206	90	1	0	0	0	0	177
0.107	122	147	110	206	91	1	0	0	0	0	177
0.108	122	147	110	206	91	1	0	0	0	0	177
0.109	122	147	110	206	91	1	0	0	0	0	177
0.11	122	147	110	206	92	1	0	0	0	0	177
0.111	122	147	110	206	92	1	0	0	0	0	177
0.112	122	147	110	206	94	1	0	0	0	0	177
0.113	122	147	113	208	95	1	0	0	0	0	178
0.114	122	147	113	208	96	1	0	0	0	0	178
0.115	122	147	113	208	96	1	0	0	0	0	178
0.116	122	147	113	208	96	1	0	0	0	0	178
0.117	122	147	113	208	96	1	0	0	0	0	178
0.118	122	147	113	208	96	1	0	0	0	0	178
0.119	126	148	113	212	97	1	0	0	0	0	179
0.12	126	148	113	212	97	1	0	0	0	0	179
0.121	126	148	113	212	97	1	0	0	0	0	179
0.122	126	148	113	212	97	1	0	0	0	0	179
0.123	126	148	113	212	97	1	0	0	0	0	179
0.124	127	152	113	216	98	1	0	0	0	0	180
0.125	127	152	113	216	98	1	0	0	0	0	180
0.126	127	152	113	216	99	1	0	0	0	0	180
0.127	127	152	113	216	99	1	0	0	0	0	180
0.128	127	152	113	216	99	1	0	0	0	0	180
0.129	127	152	113	216	100	1	0	0	0	0	180
0.13	127	152	113	216	100	1	0	0	0	0	180
0.131	129	157	113	222	100	1	0	0	0	0	181
0.132	129	157	113	222	100	1	0	0	0	0	181
0.133	129	157	113	222	100	1	0	0	0	0	181
0.134	129	157	113	222	100	1	0	0	0	0	181
0.135	129	157	113	222	102	1	0	0	0	0	181
0.136	129	157	113	222	102	1	0	0	0	0	181
0.137	129	157	113	222	102	1	0	0	0	0	181
0.138	129	157	113	222	102	1	0	0	0	0	181
0.139	129	157	113	222	104	1	0	0	0	0	181
0.14	129	157	113	222	104	1	0	0	0	0	181
0.141	129	157	113	222	105	1	0	0	0	0	181
0.142	129	157	113	222	107	1	0	0	0	0	181
0.143	129	157	113	222	108	1	0	0	0	0	181
0.144	129	157	113	222	110	1	0	0	0	0	181
0.145	129	157	113	222	110	1	0	0	0	0	181
0.146	129	157	113	222	111	1	0	0	0	0	181
0.147	129	157	113	222	111	1	0	0	0	0	181
0.148	129	157	113	222	111	1	0	0	0	0	181
0.149	129	157	113	222	111	1	0	0	0	0	181
0.15	129	157	113	222	111	1	0	0	0	0	181
0.151	129	157	113	222	112	1	0	0	0	0	181
0.152	129	157	113	222	112	1	0	0	0	0	181
0.153	129	157	113	222	112	1	0	0	0	0	181
0.154	129	157	113	222	112	1	0	0	0	0	181
0.155	129	157	113	222	112	1	0	0	0	0	181
0.156	129	157	113	222	112	1	0	0	0	0	181
0.157	129	157	113	222	113	1	0	0	0	0	181
0.158	129	157	113	222	113	1	0	0	0	0	181
0.159	129	157	113	222	113	1	0	0	0	0	181
0.16	129	157	113	222	114	1	0	0	0	0	181
0.161	129	157	113	222	114	1	0	0	0	0	181
0.162	129	157	113	222	114	1	0	0	0	0	181
0.163	129	157	113	222	115	1	0	0	0	0	181
0.164	129	157	113	222	116	1	0	0	0	0	181
0.165	129	157	113	222	116	1	0	0	0	0	181
0.166	129	157	113	222	117	1	0	0	0	0	181
0.167	129	157	113	222	118	1	0	0	0	0	181
0.168	129	157	113	222	118	1	0	0	0	0	181
0.169	129	157	113	222	119	1	0	0	0	0	181
0.17	129	157	113	222	120	1	0	0	0	0	181
0.171	129	157	113	222	124	1	0	0	0	0	181
0.172	129	157	113	222	127	1	0	0	0	0	181
0.173	129	157	113	222	129	1	0	0	0	0	181
0.174	129	157	113	222	131	1	0	0	0	0	181
0.175	129	157	113	222	131	1	0	0	0	0	181
0.176	129	157	113	222	132	1	0	0	0	0	181
0.177	129	157	113	222	132	1	0	0	0	0	181
0.178	129	157	113	222	132	1	0	0	0	0	181
0.179	129	157	113	222	132	1	0	0	0	0	181
0.18	129	157	113	222	132	1	0	0	0	0	181
0.181	129	157	113	222	132	1	0	0	0	0	181
0.182	129	157	113	222	132	1	0	0	0	0	181
0.183	129	157	113	222	132	1	0	0	0	0	181
0.184	129	157	113	222	132	1	0	0	0	0	181
0.185	129	157	113	222	132	1	0	0	0	0	181
0.186	129	157	113	222	132	1	0	0	0	0	181
0.187	129	157	113	222	132	1	0	0	0	0	181
0.188	129	157	113	222	132	1	0	0	0	0	181
0.189	129	157	113	222	133	1	0	0	0	0	181
0.19	129	157	113	222	133	1	0	0	0	0	181
0.191	129	157	113	222	133	1	0	0	0	0	181
0.192	129	157	113	222	133	1	0	0	0	0	181
0.193	129	157	113	222	133	1	0	0	0	0	181
0.194	129	157	113	222	133	1	0	0	0	0	181
0.195	129	157	113	222	134	1	0	0	0	0	181
0.196	129	157	113	222	134	1	0	0	0	0	181
0.197	129	157	113	222	135	1	0	0	0	0	181
0.198	129	157	113	222	136	1	0	0	0	0	181
0.199	129	157	113	222	137	1	0	0	0	0	181
0.2	129	157	113	222	138	1	0	0	0	0	181
0.201	129	157	113	222	138	1	0	0	0	0	181
0.202	129	157	113	222	138	1	0	0	0	0	181
0.203	129	157	113	222	138	1	0	0	0	0	181
0.204	129	157	113	222	138	1	0	0	0	0	181
0.205	129	157	113	222	138	1	0	0	0	0	181
0.206	129	157	113	222	138	1	0	0	0	0	181
0.207	129	157	113	222	138	1	0	0	0	0	181
0.208	129	157	113	222	138	1	0	0	0	0	181
0.209	129	157	113	222	138	1	0	0	0	0	181
0.21	129	157	113	222	138	1	0	0	0	0	181
0.211	129	157	113	222	138	1	0	0	0	0	181
0.212	129	157	113	222	138	1	0	0	0	0	181
0.213	129	157	113	222	138	1	0	0	0	0	181
0.214	129	157	113	222	138	1	0	0	0	0	181
0.215	129	157	112	222	139	1	0	0	0	0	181
0.216	129	157	112	222	139	1	0	0	0	0	181
0.217	129	157	112	222	140	1	0	0	0	0	181
0.218	129	157	112	222	141	1	0	0	0	0	181
0.219	129	157	112	222	142	1	0	0	0	0	181
0.22	129	157	112	222	142	1	0	0	0	0	181
0.221	129	157	112	222	143	1	0	0	0	0	181
0.222	129	157	112	222	143	1	0	0	0	0	181
0.223	129	157	112	222	143	1	0	0	0	0	181
0.224	129	157	112	222	143	1	0	0	0	0	181
0.225	129	157	112	222	144	1	0	0	0	0	181
0.226	129	157	112	222	144	1	0	0	0	0	181
0.227	129	157	112	222	144	1	0	0	0	0	181
0.228	129	157	112	222	144	1	0	0	0	0	181
0.229	129	157	112	222	144	1	0	0	0	0	181
0.23	129	157	112	222	145	1	0	0	0	0	181
0.231	129	157	112	222	145	1	0	0	0	0	181
0.232	129	157	112	222	148	1	0	0	0	0	181
0.233	129	157	112	222	149	1	0	0	0	0	181
0.234	129	157	112	222	150	1	0	0	0	0	181
0.235	129	157	112	222	151	1	0	0	0	0	181
0.236	129	157	112	222	151	1	0	0	0	0	181
0.237	129	159	113	224	151	1	0	0	0	0	182
0.238	129	159	113	224	152	1	0	0	0	0	182
0.239	129	159	113	224	152	1	0	0	0	0	182
0.24	129	159	113	224	152	1	0	0	0	0	182
0.241	129	159	113	224	153	1	0	0	0	0	182
0.242	129	159	113	224	153	1	0	0	0	0	182
0.243	129	159	113	224	153	1	0	0	0	0	182
0.244	129	159	113	224	153	1	0	0	0	0	182
0.245	129	159	113	224	155	1	0	0	0	0	182
0.246	129	159	113	224	157	1	0	0	0	0	182
0.247	129	159	113	224	157	1	0	0	0	0	182
0.248	129	159	113	224	157	1	0	0	0	0	182
0.249	129	159	113	224	157	1	0	0	0	0	182
0.25	129	159	113	224	158	1	0	0	0	0	182
0.251	129	159	113	224	159	1	0	0	0	0	182
0.252	129	159	113	224	159	1	0	0	0	0	182
0.253	129	159	113	224	159	1	0	0	0	0	182
0.254	129	159	113	224	161	1	0	0	0	0	182
0.255	129	159	113	224	161	1	0	0	0	0	182
0.256	129	159	113	224	162	1	0	0	0	0	182
0.257	129	159	113	224	163	1	0	0	0	0	182
0.258	129	159	113	224	163	1	0	0	0	0	182
0.259	129	159	113	224	163	1	0	0	0	0	182
0.26	129	159	113	224	164	1	0	0	0	0	182
0.261	129	159	113	224	165	1	0	0	0	0	182
0.262	129	159	113	224	165	1	0	0	0	0	182
0.263	130	161	115	228	165	1	0	0	0	0	183
0.264	130	161	113	228	167	1	0	0	0	0	183
0.265	130	161	113	228	167	1	0	0	0	0	183
0.266	130	161	113	228	169	1	0	0	0	0	183
0.267	130	161	113	228	169	1	0	0	0	0	183
0.268	130	161	113	228	169	1	0	0	0	0	183
0.269	130	161	113	228	169	1	0	0	0	0	183
0.27	130	161	113	228	170	1	0	0	0	0	183
0.271	130	161	113	228	170	1	0	0	0	0	183
0.272	130	161	113	228	170	1	0	0	0	0	183
0.273	130	161	113	228	170	1	0	0	0	0	183
0.274	130	161	113	228	170	1	0	0	0	0	183
0.275	130	162	116	231	170	1	0	0	0	0	184
0.276	130	162	116	231	170	1	0	0	0	0	184
0.277	130	162	116	231	170	1	0	0	0	0	184
0.278	130	162	116	231	170	1	0	0	0	0	184
0.279	130	162	116	231	173	1	0	0	0	0	184
0.28	130	162	116	231	173	1	0	0	0	0	184
0.281	130	162	116	231	173	1	0	0	0	0	184
0.282	130	162	116	231	173	1	0	0	0	0	184
0.283	130	162	116	231	174	1	0	0	0	0	184
0.284	130	162	116	231	174	1	0	0	0	0	184
0.285	130	162	116	231	174	1	0	0	0	0	184
0.286	130	162	116	231	175	1	0	0	0	0	184
0.287	130	162	116	231	175	1	0	0	0	0	184
0.288	130	162	116	231	176	1	0	0	0	0	184
0.289	130	162	116	231	177	1	0	0	0	0	184
0.29	130	162	116	231	178	1	0	0	0	0	184
0.291	130	163	119	234	178	1	0	0	0	0	185
0.292	130	163	119	234	178	1	0	0	0	0	185
0.293	130	163	119	234	179	1	0	0	0	0	185
0.294	130	163	119	234	179	1	0	0	0	0	185
0.295	130	163	119	234	179	1	0	0	0	0	185
0.296	130	163	119	234	180	1	0	0	0	0	185
0.297	130	163	119	234	181	1	0	0	0	0	185
0.298	130	163	119	234	182	1	0	0	0	0	185
0.299	130	164	122	237	182	1	0	0	0	0	186
0.3	130	164	122	237	182	1	0	0	0	0	186
0.301	130	164	122	237	183	1	0	0	0	0	186
0.302	130	164	122	237	183	1	0	0	0	0	186
0.303	130	164	122	237	183	1	0	0	0	0	186
0.304	130	164	122	237	183	1	0	0	0	0	186
0.305	130	164	122	237	184	1	0	0	0	0	186
0.306	130	164	122	237	184	1	0	0	0	0	186
0.307	130	164	122	237	184	1	0	0	0	0	186
0.308	130	164	122	237	185	1	0	0	0	0	186
0.309	130	164	122	237	186	1	0	0	0	0	186
0.31	130	164	122	237	187	1	0	0	0	0	186
0.311	130	164	122	237	188	1	0	0	0	0	186
0.312	130	164	122	237	189	1	0	0	0	0	186
0.313	130	164	122	237	189	1	0	0	0	0	186
0.314	130	164	122	237	189	1	0	0	0	0	186
0.315	130	164	122	237	189	1	0	0	0	0	186
0.316	130	164	122	237	189	1	0	0	0	0	186
0.317	130	164	122	237	190	1	0	0	0	0	186
0.318	130	164	122	237	190	1	0	0	0	0	186
0.319	130	164	122	237	190	1	0	0	0	0	186
0.32	130	164	122	237	190	1	0	0	0	0	186
0.321	130	164	122	237	190	1	0	0	0	0	186
0.322	130	164	122	237	190	1	0	0	0	0	186
0.323	130	164	122	237	190	1	0	0	0	0	186
0.324	130	164	122	237	190	1	0	0	0	0	186
0.325	130	164	122	237	191	1	0	0	0	0	186
0.326	130	164	122	237	192	1	0	0	0	0	186
0.327	130	164	122	237	192	1	0	0	0	0	186
0.328	130	164	122	237	192	1	0	0	0	0	186
0.329	130	164	122	237	192	1	0	0	0	0	186
0.33	130	164	122	237	192	1	0	0	0	0	186
