Time (s),A(lg1),A(lg2),A(lg3),A(lg4),A(lg5),B(lg1),B(lg2),B(lg3),B(lg4),B(lg5),A(lg1!1).A(lg1!1),A(lg2!1).A(lg2!1),A(lg3!1).A(lg3!1),A(lg4!1).A(lg4!1),A(lg5!1).A(lg5!1),A(lg1!1).A(lg2!1),A(lg1!1).A(lg3!1),A(lg1!1).A(lg4!1),A(lg1!1).A(lg5!1),A(lg2!1).A(lg3!1),A(lg2!1).A(lg4!1),A(lg2!1).A(lg5!1),A(lg3!1).A(lg4!1),A(lg3!1).A(lg5!1),A(lg4!1).A(lg5!1),B(lg1!1).B(lg1!1),B(lg2!1).B(lg2!1),B(lg3!1).B(lg3!1),B(lg4!1).B(lg4!1),B(lg5!1).B(lg5!1),B(lg1!1).B(lg2!1),B(lg1!1).B(lg3!1),B(lg1!1).B(lg4!1),B(lg1!1).B(lg5!1),B(lg2!1).B(lg3!1),B(lg2!1).B(lg4!1),B(lg2!1).B(lg5!1),B(lg3!1).B(lg4!1),B(lg3!1).B(lg5!1),B(lg4!1).B(lg5!1),A(lg1!1).B(lg1!1),A(lg1!1).B(lg2!1),A(lg1!1).B(lg3!1),A(lg1!1).B(lg4!1),A(lg1!1).B(lg5!1),A(lg2!1).B(lg1!1),A(lg2!1).B(lg2!1),A(lg2!1).B(lg3!1),A(lg2!1).B(lg4!1),A(lg2!1).B(lg5!1),A(lg3!1).B(lg1!1),A(lg3!1).B(lg2!1),A(lg3!1).B(lg3!1),A(lg3!1).B(lg4!1),A(lg3!1).B(lg5!1),A(lg4!1).B(lg1!1),A(lg4!1).B(lg2!1),A(lg4!1).B(lg3!1),A(lg4!1).B(lg4!1),A(lg4!1).B(lg5!1),A(lg5!1).B(lg1!1),A(lg5!1).B(lg2!1),A(lg5!1).B(lg3!1),A(lg5!1).B(lg4!1),A(lg5!1).B(lg5!1)
0,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,96,98,96,94,98,97,98,100,94,99,0,0,0,1,0,2,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
0.002,91,91,92,92,97,90,90,89,87,93,1,0,0,1,0,4,1,1,0,0,0,0,0,1,1,2,0,1,1,2,0,2,3,0,2,1,1,1,0,1,0,0,1,0,0,0,2,2,1,0,0,2,1,2,1,0,2,0,2,0,1,0,0,0,0
0.003,89,88,88,88,96,79,84,86,84,88,1,0,0,1,0,5,1,2,0,0,0,0,0,1,1,3,0,2,1,3,2,3,4,1,2,1,1,1,0,2,0,0,1,0,0,1,3,2,1,0,1,4,1,2,2,2,2,0,3,0,1,1,0,0,0
0.004,87,87,85,84,92,76,79,81,80,83,1,0,0,1,0,5,1,2,0,0,0,0,0,2,2,3,0,2,2,4,2,4,4,1,3,1,1,1,1,3,1,0,2,0,0,1,3,3,1,0,2,5,1,2,2,2,4,0,3,1,1,2,0,1,0
0.005,86,85,84,82,89,70,73,79,79,79,1,0,0,1,0,5,1,2,0,0,0,2,0,2,3,4,0,2,2,4,4,4,4,3,4,2,2,1,1,3,1,1,2,0,0,1,3,3,1,0,2,5,1,2,3,2,4,1,3,1,1,2,0,1,0
0.006,83,84,82,82,86,68,70,76,78,77,2,0,0,1,1,5,2,2,0,0,0,2,0,2,3,4,0,2,2,4,5,4,5,3,4,2,3,1,2,3,1,1,2,0,0,1,4,3,1,0,2,5,2,2,3,2,4,1,3,1,1,2,1,1,0
0.007,79,83,80,78,85,68,68,73,76,72,3,0,0,1,1,5,2,3,0,0,0,2,1,2,3,4,0,2,2,5,5,4,5,3,4,3,3,1,2,4,1,1,3,0,0,1,4,3,1,1,2,5,3,2,3,2,5,1,3,2,1,2,2,1,0
0.008,77,80,79,77,84,67,66,72,74,72,3,1,0,1,1,5,2,3,0,0,0,2,1,2,3,4,0,2,2,5,5,4,5,3,4,3,3,1,2,4,1,1,3,2,0,1,5,3,1,1,2,5,4,2,3,2,6,1,3,2,2,2,2,1,0
0.009,77,79,78,74,83,65,65,70,74,71,3,1,0,1,1,5,2,3,0,0,1,2,1,3,3,4,0,2,2,5,5,5,5,3,5,3,3,1,2,4,1,1,3,2,0,1,5,3,1,1,2,5,4,2,3,3,6,1,3,3,2,2,2,1,0
0.01,76,78,76,71,80,65,64,69,73,70,3,1,0,1,2,5,2,3,0,0,2,2,2,3,3,4,0,2,2,5,5,5,5,3,5,3,3,1,2,4,1,1,3,2,1,1,5,3,1,1,2,5,4,3,3,3,6,2,3,3,2,3,2,1,0
0.011,74,75,74,69,79,63,62,69,73,68,3,1,0,1,2,5,3,4,0,1,3,3,2,3,3,4,0,2,2,5,6,5,5,4,5,3,4,1,2,4,1,1,3,2,1,1,5,3,1,1,2,5,4,3,3,3,6,2,3,3,2,3,2,1,0
0.012,70,73,68,65,73,59,61,68,71,68,3,1,1,2,3,5,4,5,2,2,3,3,2,4,3,4,0,2,2,5,7,5,5,4,5,3,4,2,2,4,1,1,3,2,1,1,5,3,2,1,3,5,4,3,3,4,6,2,3,3,3,3,2,1,0
0.013,68,73,68,64,70,56,59,66,69,65,3,1,1,2,3,5,4,6,3,2,3,3,2,4,3,4,0,2,2,5,9,5,5,5,5,3,4,3,3,4,1,1,3,2,1,1,5,3,2,1,3,5,4,3,3,4,6,2,3,3,3,3,2,2,1
