Time (s),leg
0,0
0.001,15
0.002,44
0.003,65
0.004,83
0.005,97
0.006,107
0.007,119
0.008,126
0.009,132
0.01,139
0.011,147
0.012,162
0.013,171
0.014,181
0.015,195
0.016,205
0.017,209
0.018,218
0.019,223
0.02,236
0.021,242
0.022,244
0.023,244
0.024,245
0.025,247
0.026,256
0.027,274
0.028,286
0.029,293
0.03,303
0.031,303
0.032,310
0.033,310
0.034,321
0.035,327
0.036,332
0.037,339
0.038,339
0.039,346
0.04,346
0.041,346
0.042,346
0.043,346
0.044,346
0.045,351
0.046,351
0.047,351
0.048,351
0.049,351
0.05,352
0.051,356
0.052,356
0.053,359
0.054,359
0.055,362
0.056,362
0.057,362
0.058,362
0.059,362
0.06,362
0.061,362
0.062,362
0.063,362
0.064,362
0.065,362
0.066,362
0.067,362
0.068,362
0.069,362
0.07,364
0.071,364
0.072,364
0.073,364
0.074,364
0.075,364
0.076,364
0.077,364
0.078,363
0.079,364
0.08,364
0.081,364
0.082,364
0.083,364
0.084,364
0.085,366
0.086,366
0.087,366
0.088,366
0.089,375
0.09,375
0.091,375
0.092,375
0.093,375
0.094,375
0.095,375
0.096,375
0.097,375
0.098,375
0.099,374
0.1,374
0.101,374
0.102,374
0.103,379
0.104,379
0.105,379
0.106,379
0.107,379
0.108,379
0.109,379
0.11,379
0.111,379
0.112,379
0.113,382
0.114,382
0.115,382
0.116,382
0.117,382
0.118,382
0.119,387
0.12,387
0.121,387
0.122,387
0.123,387
0.124,392
0.125,392
0.126,392
0.127,392
0.128,392
0.129,392
0.13,392
0.131,399
0.132,399
0.133,399
0.134,399
0.135,399
0.136,399
0.137,399
0.138,399
0.139,399
0.14,399
0.141,399
0.142,399
0.143,399
0.144,399
0.145,399
0.146,399
0.147,399
0.148,399
0.149,399
0.15,399
0.151,399
0.152,399
0.153,399
0.154,399
0.155,399
0.156,399
0.157,399
0.158,399
0.159,399
0.16,399
0.161,399
0.162,399
0.163,399
0.164,399
0.165,399
0.166,399
0.167,399
0.168,399
0.169,399
0.17,399
0.171,399
0.172,399
0.173,399
0.174,399
0.175,399
0.176,399
0.177,399
0.178,399
0.179,399
0.18,399
0.181,399
0.182,399
0.183,399
0.184,399
0.185,399
0.186,399
0.187,399
0.188,399
0.189,399
0.19,399
0.191,399
0.192,399
0.193,399
0.194,399
0.195,399
0.196,399
0.197,399
0.198,399
0.199,399
0.2,399
0.201,399
0.202,399
0.203,399
0.204,399
0.205,399
0.206,399
0.207,399
0.208,399
0.209,399
0.21,399
0.211,399
0.212,399
0.213,399
0.214,399
0.215,398
0.216,398
0.217,398
0.218,398
0.219,398
0.22,398
0.221,398
0.222,398
0.223,398
0.224,398
0.225,398
0.226,398
0.227,398
0.228,398
0.229,398
0.23,398
0.231,398
0.232,398
0.233,398
0.234,398
0.235,398
0.236,398
0.237,401
0.238,401
0.239,401
0.24,401
0.241,401
0.242,401
0.243,401
0.244,401
0.245,401
0.246,401
0.247,401
0.248,401
0.249,401
0.25,401
0.251,401
0.252,401
0.253,401
0.254,401
0.255,401
0.256,401
0.257,401
0.258,401
0.259,401
0.26,401
0.261,401
0.262,401
0.263,406
0.264,404
0.265,404
0.266,404
0.267,404
0.268,404
0.269,404
0.27,404
0.271,404
0.272,404
0.273,404
0.274,404
0.275,408
0.276,408
0.277,408
0.278,408
0.279,408
0.28,408
0.281,408
0.282,408
0.283,408
0.284,408
0.285,408
0.286,408
0.287,408
0.288,408
0.289,408
0.29,408
0.291,412
0.292,412
0.293,412
0.294,412
0.295,412
0.296,412
0.297,412
0.298,412
0.299,416
0.3,416
0.301,416
0.302,416
0.303,416
0.304,416
0.305,416
0.306,416
0.307,416
0.308,416
0.309,416
0.31,416
0.311,416
0.312,416
0.313,416
0.314,416
0.315,416
0.316,416
0.317,416
0.318,416
0.319,416
0.32,416
0.321,416
0.322,416
0.323,416
0.324,416
0.325,416
0.326,416
0.327,416
0.328,416
0.329,416
0.33,416
0.331,416
0.332,416
0.333,416
0.334,416
0.335,416
0.336,416
0.337,416
0.338,416
0.339,416
0.34,416
0.341,416
0.342,416
0.343,416
0.344,416
0.345,416
0.346,416
0.347,416
0.348,416
0.349,416
0.35,416
0.351,416
0.352,416
0.353,416
0.354,416
0.355,416
0.356,416
0.357,416
0.358,416
0.359,416
0.36,416
0.361,416
0.362,416
0.363,416
0.364,416
0.365,416
0.366,416
0.367,416
0.368,416
0.369,416
0.37,416
0.371,416
0.372,416
0.373,416
0.374,416
0.375,416
0.376,416
0.377,416
0.378,416
0.379,416
0.38,416
0.381,416
0.382,416
0.383,416
0.384,416
0.385,416
0.386,416
0.387,416
0.388,416
0.389,416
0.39,416
0.391,416
0.392,416
0.393,416
0.394,416
0.395,416
0.396,416
0.397,416
0.398,416
0.399,416
0.4,416
0.401,416
0.402,416
0.403,416
0.404,416
0.405,416
0.406,416
0.407,416
0.408,416
0.409,416
0.41,416
0.411,416
0.412,416
0.413,416
0.414,416
0.415,416
0.416,416
0.417,416
0.418,416
0.419,416
0.42,416
0.421,416
0.422,416
0.423,416
0.424,416
0.425,416
0.426,416
0.427,416
0.428,416
0.429,416
0.43,416
0.431,416
0.432,416
0.433,416
0.434,416
0.435,416
0.436,416
0.437,416
0.438,416
0.439,416
0.44,416
0.441,416
0.442,416
0.443,416
0.444,416
0.445,416
0.446,416
0.447,416
0.448,416
0.449,416
0.45,416
0.451,416
0.452,416
0.453,416
0.454,416
0.455,416
0.456,416
0.457,416
0.458,416
0.459,416
0.46,416
0.461,416
0.462,416
0.463,416
0.464,416
0.465,416
0.466,416
0.467,416
0.468,416
0.469,416
0.47,416
0.471,416
0.472,416
0.473,416
0.474,416
0.475,416
0.476,416
0.477,416
0.478,416
0.479,416
0.48,416
0.481,416
0.482,416
0.483,416
0.484,416
0.485,416
0.486,416
0.487,416
0.488,416
0.489,416
0.49,416
0.491,416
0.492,416
0.493,416
0.494,416
0.495,416
0.496,416
0.497,416
0.498,416
0.499,416
0.5,416
0.501,416
0.502,416
0.503,416
0.504,416
0.505,416
0.506,416
0.507,416
0.508,416
0.509,416
0.51,416
0.511,416
0.512,416
0.513,416
0.514,416
0.515,416
0.516,416
0.517,416
0.518,416
0.519,416
0.52,416
0.521,416
0.522,416
0.523,416
0.524,416
0.525,416
0.526,416
0.527,416
0.528,416
0.529,416
0.53,416
0.531,416
0.532,416
0.533,416
0.534,416
0.535,416
0.536,416
0.537,416
0.538,416
0.539,416
0.54,416
0.541,416
0.542,416
0.543,416
0.544,416
0.545,416
0.546,416
0.547,416
0.548,416
0.549,416
0.55,416
0.551,416
0.552,416
0.553,416
0.554,416
0.555,416
0.556,416
0.557,416
0.558,416
0.559,416
0.56,416
0.561,416
0.562,416
0.563,416
0.564,416
0.565,416
0.566,416
0.567,416
0.568,416
0.569,416
0.57,416
0.571,416
0.572,416
0.573,416
0.574,416
0.575,416
0.576,416
0.577,416
0.578,416
0.579,416
0.58,416
0.581,416
0.582,416
0.583,416
0.584,416
0.585,416
0.586,416
0.587,416
0.588,416
0.589,416
0.59,416
0.591,416
0.592,416
0.593,416
0.594,416
0.595,416
0.596,416
0.597,416
0.598,416
0.599,416
0.6,416
0.601,422
0.602,422
0.603,422
0.604,422
0.605,422
0.606,422
0.607,422
0.608,422
0.609,422
0.61,422
0.611,422
0.612,422
0.613,422
0.614,422
0.615,422
0.616,422
0.617,422
0.618,422
0.619,422
0.62,422
0.621,422
0.622,422
0.623,422
0.624,422
0.625,422
0.626,422
0.627,422
0.628,422
0.629,422
0.63,422
0.631,422
0.632,422
0.633,422
0.634,422
0.635,422
0.636,422
0.637,422
0.638,422
0.639,422
0.64,422
0.641,422
0.642,422
0.643,422
0.644,422
0.645,422
0.646,422
0.647,422
0.648,422
0.649,422
0.65,422
0.651,422
0.652,422
0.653,422
0.654,422
0.655,422
0.656,422
0.657,422
0.658,422
0.659,422
0.66,422
