Time (s): 0
200	A: 1. 
100	F: 1. 
Time (s): 0.001
169	A: 1. 
12	A: 2. 
2	A: 3. 
99	F: 1. 
1	A: 1. F: 1. 
Time (s): 0.002
158	A: 1. 
15	A: 2. 
3	A: 3. 
97	F: 1. 
3	A: 1. F: 1. 
Time (s): 0.003
4	A: 1. F: 1. 
149	A: 1. 
19	A: 2. 
3	A: 3. 
96	F: 1. 
Time (s): 0.004
5	A: 1. F: 1. 
136	A: 1. 
25	A: 2. 
3	A: 3. 
95	F: 1. 
Time (s): 0.005
6	A: 1. F: 1. 
124	A: 1. 
29	A: 2. 
4	A: 3. 
94	F: 1. 
Time (s): 0.006
7	A: 1. F: 1. 
34	A: 2. 
104	A: 1. 
7	A: 3. 
93	F: 1. 
Time (s): 0.007
1	A: 2. F: 2. 
33	A: 2. 
93	A: 1. 
7	A: 1. F: 1. 
91	F: 1. 
8	A: 3. 
2	A: 4. 
Time (s): 0.008
1	A: 2. F: 2. 
32	A: 2. 
85	A: 1. 
8	A: 1. F: 1. 
90	F: 1. 
11	A: 3. 
2	A: 4. 
Time (s): 0.009
1	A: 2. F: 2. 
34	A: 2. 
71	A: 1. 
10	A: 1. F: 1. 
88	F: 1. 
11	A: 3. 
4	A: 4. 
Time (s): 0.01
1	A: 2. F: 2. 
29	A: 2. 
69	A: 1. 
9	A: 1. F: 1. 
89	F: 1. 
14	A: 3. 
5	A: 4. 
Time (s): 0.011
1	A: 2. F: 2. 
30	A: 2. 
66	A: 1. 
9	A: 1. F: 1. 
89	F: 1. 
13	A: 3. 
6	A: 4. 
Time (s): 0.012
1	A: 2. F: 2. 
29	A: 2. 
60	A: 1. 
11	A: 1. F: 1. 
87	F: 1. 
15	A: 3. 
6	A: 4. 
Time (s): 0.013
1	A: 2. F: 2. 
26	A: 2. 
56	A: 1. 
11	A: 1. F: 1. 
87	F: 1. 
15	A: 3. 
6	A: 4. 
2	A: 5. 
Time (s): 0.014
1	A: 2. F: 2. 
24	A: 2. 
53	A: 1. 
11	A: 1. F: 1. 
87	F: 1. 
16	A: 3. 
7	A: 4. 
2	A: 5. 
Time (s): 0.015
1	A: 2. F: 2. 
25	A: 2. 
47	A: 1. 
12	A: 1. F: 1. 
86	F: 1. 
17	A: 3. 
