Time (s): 0
500	IL: 1. 
200	B: 1. 
Time (s): 2e-05
494	IL: 1. 
194	B: 1. 
6	B: 1. IL: 1. 
Time (s): 4e-05
492	IL: 1. 
192	B: 1. 
8	B: 1. IL: 1. 
Time (s): 6e-05
485	IL: 1. 
185	B: 1. 
15	B: 1. IL: 1. 
Time (s): 8e-05
482	IL: 1. 
182	B: 1. 
18	B: 1. IL: 1. 
Time (s): 0.0001
476	IL: 1. 
176	B: 1. 
24	B: 1. IL: 1. 
Time (s): 0.00012
474	IL: 1. 
174	B: 1. 
26	B: 1. IL: 1. 
Time (s): 0.00014
471	IL: 1. 
171	B: 1. 
29	B: 1. IL: 1. 
Time (s): 0.00016
463	IL: 1. 
163	B: 1. 
37	B: 1. IL: 1. 
Time (s): 0.00018
459	IL: 1. 
159	B: 1. 
41	B: 1. IL: 1. 
Time (s): 0.0002
458	IL: 1. 
158	B: 1. 
42	B: 1. IL: 1. 
Time (s): 0.00022
454	IL: 1. 
154	B: 1. 
46	B: 1. IL: 1. 
Time (s): 0.00024
454	IL: 1. 
154	B: 1. 
46	B: 1. IL: 1. 
Time (s): 0.00026
451	IL: 1. 
151	B: 1. 
49	B: 1. IL: 1. 
Time (s): 0.00028
449	IL: 1. 
51	B: 1. IL: 1. 
149	B: 1. 
Time (s): 0.0003
447	IL: 1. 
53	B: 1. IL: 1. 
147	B: 1. 
Time (s): 0.00032
446	IL: 1. 
54	B: 1. IL: 1. 
146	B: 1. 
Time (s): 0.00034
446	IL: 1. 
146	B: 1. 
54	B: 1. IL: 1. 
Time (s): 0.00036
444	IL: 1. 
144	B: 1. 
56	B: 1. IL: 1. 
Time (s): 0.00038
443	IL: 1. 
143	B: 1. 
57	B: 1. IL: 1. 
Time (s): 0.0004
439	IL: 1. 
61	B: 1. IL: 1. 
139	B: 1. 
Time (s): 0.00042
436	IL: 1. 
64	B: 1. IL: 1. 
136	B: 1. 
Time (s): 0.00044
435	IL: 1. 
65	B: 1. IL: 1. 
135	B: 1. 
Time (s): 0.00046
434	IL: 1. 
66	B: 1. IL: 1. 
134	B: 1. 
Time (s): 0.00048
431	IL: 1. 
69	B: 1. IL: 1. 
131	B: 1. 
Time (s): 0.0005
428	IL: 1. 
