,Time(s),B: 1.,B: 1. IL: 1.
0,0.0,200.0,0.0
1,2e-05,194.0,6.0
2,4e-05,192.0,8.0
3,6e-05,185.0,15.0
4,8e-05,182.0,18.0
5,0.0001,176.0,24.0
6,0.00012,174.0,26.0
7,0.00014,171.0,29.0
8,0.00016,163.0,37.0
9,0.00018,159.0,41.0
10,0.0002,158.0,42.0
11,0.00022,154.0,46.0
12,0.00024,154.0,46.0
13,0.00026,151.0,49.0
14,0.00028,149.0,51.0
15,0.0003,147.0,53.0
16,0.00032,146.0,54.0
17,0.00034,146.0,54.0
18,0.00036,144.0,56.0
19,0.00038,143.0,57.0
20,0.0004,139.0,61.0
21,0.00042,136.0,64.0
22,0.00044,135.0,65.0
23,0.00046,134.0,66.0
24,0.00048,131.0,69.0
25,0.0005,128.0,72.0
26,0.00052,127.0,73.0
27,0.00054,126.0,74.0
28,0.00056,123.0,77.0
29,0.00058,121.0,79.0
30,0.0006,120.0,80.0
31,0.00062,119.0,81.0
32,0.00064,118.0,82.0
33,0.00066,114.0,86.0
34,0.00068,112.0,88.0
35,0.0007,109.0,91.0
36,0.00072,107.0,93.0
37,0.00074,107.0,93.0
38,0.00076,103.0,97.0
39,0.00078,101.0,99.0
40,0.0008,105.0,95.0
41,0.00082,103.0,97.0
42,0.00084,102.0,98.0
43,0.00086,101.0,99.0
44,0.00088,100.0,100.0
45,0.0009,96.0,104.0
46,0.00092,96.0,104.0
47,0.00094,97.0,103.0
48,0.00096,96.0,104.0
49,0.00098,97.0,103.0
50,0.001,95.0,105.0
51,0.00102,94.0,106.0
52,0.00104,95.0,105.0
53,0.00106,96.0,104.0
54,0.00108,94.0,106.0
55,0.0011,95.0,105.0
56,0.00112,92.0,108.0
57,0.00114,91.0,109.0
58,0.00116,89.0,111.0
59,0.00118,89.0,111.0
60,0.0012,85.0,115.0
61,0.00122,84.0,116.0
62,0.00124,83.0,117.0
63,0.00126,81.0,119.0
64,0.00128,80.0,120.0
65,0.0013,77.0,123.0
66,0.00132,79.0,121.0
67,0.00134,82.0,118.0
68,0.00136,79.0,121.0
69,0.00138,79.0,121.0
70,0.0014,81.0,119.0
71,0.00142,82.0,118.0
72,0.00144,80.0,120.0
73,0.00146,79.0,121.0
74,0.00148,79.0,121.0
75,0.0015,76.0,124.0
76,0.00152,75.0,125.0
77,0.00154,75.0,125.0
78,0.00156,73.0,127.0
79,0.00158,72.0,128.0
80,0.0016,73.0,127.0
81,0.00162,71.0,129.0
82,0.00164,73.0,127.0
83,0.00166,71.0,129.0
84,0.00168,71.0,129.0
85,0.0017,69.0,131.0
86,0.00172,70.0,130.0
87,0.00174,68.0,132.0
88,0.00176,68.0,132.0
89,0.00178,68.0,132.0
90,0.0018,71.0,129.0
91,0.00182,70.0,130.0
92,0.00184,69.0,131.0
93,0.00186,68.0,132.0
94,0.00188,68.0,132.0
95,0.0019,69.0,131.0
96,0.00192,68.0,132.0
97,0.00194,66.0,134.0
98,0.00196,66.0,134.0
99,0.00198,67.0,133.0
100,0.002,67.0,133.0
101,0.00202,67.0,133.0
102,0.00204,66.0,134.0
103,0.00206,64.0,136.0
104,0.00208,64.0,136.0
105,0.0021,66.0,134.0
106,0.00212,65.0,135.0
107,0.00214,63.0,137.0
108,0.00216,64.0,136.0
109,0.00218,63.0,137.0
110,0.0022,67.0,133.0
111,0.00222,69.0,131.0
112,0.00224,68.0,132.0
113,0.00226,67.0,133.0
114,0.00228,67.0,133.0
115,0.0023,65.0,135.0
116,0.00232,66.0,134.0
117,0.00234,64.0,136.0
118,0.00236,62.0,138.0
119,0.00238,63.0,137.0
120,0.0024,64.0,136.0
121,0.00242,64.0,136.0
122,0.00244,62.0,138.0
123,0.00246,65.0,135.0
124,0.00248,67.0,133.0
125,0.0025,63.0,137.0
126,0.00252,67.0,133.0
127,0.00254,64.0,136.0
128,0.00256,62.0,138.0
129,0.00258,63.0,137.0
130,0.0026,62.0,138.0
131,0.00262,63.0,137.0
132,0.00264,60.0,140.0
133,0.00266,61.0,139.0
134,0.00268,64.0,136.0
135,0.0027,62.0,138.0
136,0.00272,60.0,140.0
137,0.00274,61.0,139.0
138,0.00276,61.0,139.0
139,0.00278,58.0,142.0
140,0.0028,56.0,144.0
141,0.00282,55.0,145.0
142,0.00284,54.0,146.0
143,0.00286,54.0,146.0
144,0.00288,51.0,149.0
145,0.0029,51.0,149.0
146,0.00292,51.0,149.0
147,0.00294,52.0,148.0
148,0.00296,51.0,149.0
149,0.00298,52.0,148.0
150,0.003,54.0,146.0
151,0.00302,53.0,147.0
152,0.00304,54.0,146.0
153,0.00306,55.0,145.0
154,0.00308,50.0,150.0
155,0.0031,49.0,151.0
156,0.00312,49.0,151.0
157,0.00314,48.0,152.0
158,0.00316,46.0,154.0
159,0.00318,46.0,154.0
160,0.0032,48.0,152.0
161,0.00322,49.0,151.0
162,0.00324,49.0,151.0
163,0.00326,50.0,150.0
164,0.00328,51.0,149.0
165,0.0033,53.0,147.0
166,0.00332,51.0,149.0
167,0.00334,48.0,152.0
168,0.00336,48.0,152.0
169,0.00338,46.0,154.0
170,0.0034,45.0,155.0
171,0.00342,48.0,152.0
172,0.00344,50.0,150.0
173,0.00346,50.0,150.0
174,0.00348,50.0,150.0
175,0.0035,49.0,151.0
176,0.00352,48.0,152.0
177,0.00354,49.0,151.0
178,0.00356,48.0,152.0
179,0.00358,47.0,153.0
180,0.0036,45.0,155.0
181,0.00362,44.0,156.0
182,0.00364,46.0,154.0
183,0.00366,49.0,151.0
184,0.00368,50.0,150.0
185,0.0037,48.0,152.0
186,0.00372,46.0,154.0
187,0.00374,45.0,155.0
188,0.00376,47.0,153.0
189,0.00378,46.0,154.0
190,0.0038,46.0,154.0
191,0.00382,47.0,153.0
192,0.00384,48.0,152.0
193,0.00386,46.0,154.0
194,0.00388,48.0,152.0
195,0.0039,49.0,151.0
196,0.00392,49.0,151.0
197,0.00394,50.0,150.0
198,0.00396,53.0,147.0
199,0.00398,49.0,151.0
200,0.004,51.0,149.0
201,0.00402,51.0,149.0
202,0.00404,52.0,148.0
203,0.00406,52.0,148.0
204,0.00408,51.0,149.0
205,0.0041,51.0,149.0
206,0.00412,50.0,150.0
207,0.00414,52.0,148.0
208,0.00416,48.0,152.0
209,0.00418,48.0,152.0
210,0.0042,49.0,151.0
211,0.00422,47.0,153.0
212,0.00424,47.0,153.0
213,0.00426,47.0,153.0
214,0.00428,47.0,153.0
215,0.0043,47.0,153.0
216,0.00432,47.0,153.0
217,0.00434,51.0,149.0
218,0.00436,48.0,152.0
219,0.00438,46.0,154.0
220,0.0044,44.0,156.0
221,0.00442,44.0,156.0
222,0.00444,41.0,159.0
223,0.00446,41.0,159.0
224,0.00448,40.0,160.0
225,0.0045,40.0,160.0
226,0.00452,39.0,161.0
227,0.00454,40.0,160.0
228,0.00456,41.0,159.0
229,0.00458,41.0,159.0
230,0.0046,42.0,158.0
231,0.00462,44.0,156.0
232,0.00464,45.0,155.0
233,0.00466,42.0,158.0
234,0.00468,41.0,159.0
235,0.0047,40.0,160.0
236,0.00472,41.0,159.0
237,0.00474,41.0,159.0
238,0.00476,41.0,159.0
239,0.00478,40.0,160.0
240,0.0048,41.0,159.0
241,0.00482,40.0,160.0
242,0.00484,39.0,161.0
243,0.00486,39.0,161.0
244,0.00488,41.0,159.0
245,0.0049,41.0,159.0
246,0.00492,44.0,156.0
247,0.00494,44.0,156.0
248,0.00496,46.0,154.0
249,0.00498,47.0,153.0
250,0.005,44.0,156.0
251,0.00502,44.0,156.0
252,0.00504,46.0,154.0
253,0.00506,47.0,153.0
254,0.00508,44.0,156.0
255,0.0051,43.0,157.0
256,0.00512,43.0,157.0
257,0.00514,44.0,156.0
258,0.00516,44.0,156.0
259,0.00518,44.0,156.0
260,0.0052,43.0,157.0
261,0.00522,44.0,156.0
262,0.00524,46.0,154.0
263,0.00526,44.0,156.0
264,0.00528,45.0,155.0
265,0.0053,44.0,156.0
266,0.00532,44.0,156.0
267,0.00534,45.0,155.0
268,0.00536,45.0,155.0
269,0.00538,46.0,154.0
270,0.0054,42.0,158.0
271,0.00542,41.0,159.0
272,0.00544,40.0,160.0
273,0.00546,40.0,160.0
274,0.00548,38.0,162.0
275,0.0055,36.0,164.0
276,0.00552,37.0,163.0
277,0.00554,38.0,162.0
278,0.00556,39.0,161.0
279,0.00558,38.0,162.0
280,0.0056,40.0,160.0
281,0.00562,39.0,161.0
282,0.00564,40.0,160.0
283,0.00566,42.0,158.0
284,0.00568,42.0,158.0
285,0.0057,44.0,156.0
286,0.00572,44.0,156.0
287,0.00574,43.0,157.0
288,0.00576,43.0,157.0
289,0.00578,43.0,157.0
290,0.0058,44.0,156.0
291,0.00582,42.0,158.0
292,0.00584,45.0,155.0
293,0.00586,44.0,156.0
294,0.00588,43.0,157.0
295,0.0059,41.0,159.0
296,0.00592,41.0,159.0
297,0.00594,40.0,160.0
298,0.00596,43.0,157.0
299,0.00598,47.0,153.0
300,0.006,48.0,152.0
301,0.00602,45.0,155.0
302,0.00604,45.0,155.0
303,0.00606,47.0,153.0
304,0.00608,44.0,156.0
305,0.0061,45.0,155.0
306,0.00612,45.0,155.0
307,0.00614,44.0,156.0
308,0.00616,43.0,157.0
309,0.00618,43.0,157.0
310,0.0062,44.0,156.0
311,0.00622,43.0,157.0
312,0.00624,44.0,156.0
313,0.00626,45.0,155.0
314,0.00628,45.0,155.0
315,0.0063,45.0,155.0
316,0.00632,43.0,157.0
317,0.00634,47.0,153.0
318,0.00636,46.0,154.0
319,0.00638,43.0,157.0
320,0.0064,45.0,155.0
321,0.00642,44.0,156.0
322,0.00644,46.0,154.0
323,0.00646,45.0,155.0
324,0.00648,48.0,152.0
325,0.0065,46.0,154.0
326,0.00652,48.0,152.0
327,0.00654,48.0,152.0
328,0.00656,46.0,154.0
329,0.00658,47.0,153.0
330,0.0066,47.0,153.0
331,0.00662,47.0,153.0
332,0.00664,47.0,153.0
333,0.00666,44.0,156.0
334,0.00668,43.0,157.0
335,0.0067,45.0,155.0
