TIME(s)	'A,A'	'A,B'	'B,B'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0	0
0.001	6	5	7	2	0	0	0	0	0	0	16
0.002	14	10	9	4	0	0	0	0	0	0	29
0.003	18	13	13	5	0	0	0	0	0	0	39
0.004	25	18	13	10	0	0	0	0	0	0	46
0.005	29	24	24	19	0	0	0	0	0	0	58
0.006	35	30	33	27	0	0	0	0	0	0	71
0.007	38	43	40	38	0	0	0	0	0	0	83
0.008	41	45	41	40	0	0	0	0	0	0	87
0.009	43	51	46	45	1	0	0	0	0	0	95
0.01	46	59	52	55	2	0	0	0	0	0	102
0.011	51	72	55	68	2	0	0	0	0	0	110
0.012	51	79	59	76	6	1	0	0	0	0	113
0.013	57	85	66	88	6	1	0	0	0	0	120
0.014	60	86	69	92	6	1	0	0	0	0	123
0.015	60	88	77	98	6	1	0	0	0	0	127
0.016	61	90	78	100	7	1	0	0	0	0	129
0.017	61	92	79	101	9	1	0	0	0	0	131
0.018	66	105	83	119	12	1	0	0	0	0	135
0.019	66	109	83	121	12	1	0	0	0	0	137
0.02	66	111	83	122	13	1	0	0	0	0	138
0.021	68	111	85	124	16	1	0	0	0	0	140
0.022	68	111	85	124	16	1	0	0	0	0	140
0.023	70	120	89	134	18	1	0	0	0	0	145
0.024	70	120	91	134	21	1	0	0	0	0	147
0.025	74	121	91	137	22	1	0	0	0	0	149
0.026	74	121	91	137	22	1	0	0	0	0	149
0.027	74	121	91	137	23	1	0	0	0	0	149
0.028	74	121	91	137	24	1	0	0	0	0	149
0.029	74	121	91	137	25	1	0	0	0	0	149
0.03	76	123	91	140	25	1	0	0	0	0	150
0.031	76	126	92	142	26	1	0	0	0	0	152
0.032	77	126	94	144	26	1	0	0	0	0	153
0.033	77	126	94	144	27	1	0	0	0	0	153
0.034	78	126	94	144	28	1	0	0	0	0	154
0.035	80	126	94	145	28	1	0	0	0	0	155
0.036	79	126	95	145	28	1	0	0	0	0	156
0.037	80	127	95	146	28	1	0	0	0	0	157
0.038	83	129	97	151	28	1	0	0	0	0	159
0.039	85	129	97	152	29	1	0	0	0	0	160
0.04	86	131	97	154	30	1	0	0	0	0	161
0.041	86	131	97	154	30	1	0	0	0	0	161
0.042	86	131	97	154	34	1	0	0	0	0	161
0.043	86	131	97	154	35	1	0	0	0	0	161
0.044	86	131	97	154	36	1	0	0	0	0	161
0.045	86	132	98	155	36	1	0	0	0	0	162
0.046	86	136	98	158	36	1	0	0	0	0	163
0.047	86	136	98	158	37	2	0	0	0	0	163
0.048	86	136	98	158	38	2	0	0	0	0	163
0.049	86	136	98	158	38	2	0	0	0	0	163
0.05	88	138	98	161	38	2	0	0	0	0	164
0.051	90	139	98	163	41	2	0	0	0	0	165
0.052	90	139	98	163	41	2	0	0	0	0	165
0.053	90	139	101	165	41	2	0	0	0	0	166
0.054	90	139	101	165	41	2	0	0	0	0	166
0.055	90	139	101	165	41	2	0	0	0	0	166
0.056	90	139	101	165	42	2	0	0	0	0	166
0.057	90	139	101	165	43	2	0	0	0	0	166
0.058	90	140	101	165	43	2	0	0	0	0	167
0.059	90	140	101	165	43	2	0	0	0	0	167
0.06	90	141	103	167	44	2	0	0	0	0	168
0.061	90	146	103	171	46	2	0	0	0	0	169
0.062	90	146	103	171	49	2	0	0	0	0	169
0.063	90	146	103	171	49	2	0	0	0	0	169
0.064	90	146	103	171	50	2	0	0	0	0	169
0.065	90	146	103	171	50	2	0	0	0	0	169
0.066	90	146	103	171	51	2	0	0	0	0	169
0.067	90	146	103	171	51	2	0	0	0	0	169
0.068	90	149	103	173	53	2	0	0	0	0	170
0.069	90	149	103	173	56	2	0	0	0	0	170
0.07	90	149	103	173	57	2	0	0	0	0	170
0.071	90	149	103	173	58	2	0	0	0	0	170
0.072	90	149	103	173	58	2	0	0	0	0	170
0.073	90	149	103	173	58	2	0	0	0	0	170
0.074	92	151	103	176	58	2	0	0	0	0	171
0.075	92	151	103	176	58	2	0	0	0	0	171
0.076	96	152	103	179	59	2	0	0	0	0	173
0.077	96	152	103	179	60	2	0	0	0	0	173
0.078	96	152	103	179	62	2	0	0	0	0	173
0.079	96	152	103	179	62	2	0	0	0	0	173
0.08	96	152	103	179	62	2	0	0	0	0	173
0.081	96	152	103	179	62	2	0	0	0	0	173
0.082	96	152	103	179	63	2	0	0	0	0	173
0.083	96	152	103	179	63	2	0	0	0	0	173
0.084	96	152	103	179	63	2	0	0	0	0	173
0.085	96	152	103	179	64	2	0	0	0	0	173
0.086	96	152	103	179	65	2	0	0	0	0	173
0.087	96	152	103	179	68	2	0	0	0	0	173
0.088	100	153	104	184	69	2	0	0	0	0	174
0.089	100	153	104	184	72	2	0	0	0	0	174
0.09	100	153	104	184	73	2	0	0	0	0	174
0.091	100	153	104	184	74	2	0	0	0	0	174
0.092	100	153	104	184	74	2	0	0	0	0	174
0.093	100	153	104	184	75	2	0	0	0	0	174
0.094	100	153	104	184	78	2	0	0	0	0	174
0.095	100	153	104	184	81	2	0	0	0	0	174
0.096	100	153	104	184	84	2	0	0	0	0	174
0.097	100	153	104	184	84	2	0	0	0	0	174
0.098	101	155	104	186	85	2	0	0	0	0	175
0.099	101	155	104	186	86	2	0	0	0	0	175
0.1	101	155	104	186	86	2	0	0	0	0	175
0.101	101	155	104	186	91	2	0	0	0	0	175
0.102	101	155	104	186	91	2	0	0	0	0	175
0.103	101	155	104	186	92	2	0	0	0	0	175
0.104	101	155	104	186	92	2	0	0	0	0	175
0.105	101	155	104	186	96	2	0	0	0	0	175
0.106	101	155	104	186	97	2	0	0	0	0	175
0.107	101	155	104	186	97	2	0	0	0	0	175
0.108	101	155	104	186	97	2	0	0	0	0	175
0.109	101	155	104	186	97	2	0	0	0	0	175
0.11	105	158	104	192	98	2	0	0	0	0	176
0.111	105	158	104	192	102	2	0	0	0	0	176
0.112	105	158	104	192	103	2	0	0	0	0	176
0.113	105	158	104	192	103	2	0	0	0	0	176
0.114	105	158	104	192	106	2	0	0	0	0	176
0.115	105	158	104	192	107	2	0	0	0	0	176
0.116	105	158	104	192	108	2	0	0	0	0	176
0.117	105	158	104	192	108	2	0	0	0	0	176
0.118	105	158	104	192	109	2	0	0	0	0	176
0.119	105	158	104	192	109	2	0	0	0	0	176
0.12	105	158	104	192	109	2	0	0	0	0	176
0.121	105	158	104	192	109	2	0	0	0	0	176
0.122	105	158	104	192	109	2	0	0	0	0	176
0.123	105	158	104	192	111	2	0	0	0	0	176
0.124	105	158	104	192	112	2	0	0	0	0	176
0.125	105	158	104	192	112	2	0	0	0	0	176
0.126	105	158	104	192	114	2	0	0	0	0	176
0.127	105	158	104	192	114	2	0	0	0	0	176
0.128	105	158	104	192	116	2	0	0	0	0	176
0.129	105	158	104	192	116	2	0	0	0	0	176
0.13	105	158	104	192	117	2	0	0	0	0	176
0.131	105	158	104	192	118	2	0	0	0	0	176
0.132	105	158	104	192	118	2	0	0	0	0	176
0.133	105	158	104	192	118	2	0	0	0	0	176
0.134	105	158	104	192	118	2	0	0	0	0	176
0.135	105	158	104	192	118	2	0	0	0	0	176
0.136	105	158	104	192	119	2	0	0	0	0	176
0.137	105	158	104	192	124	2	0	0	0	0	176
0.138	105	160	106	195	125	2	0	0	0	0	177
0.139	105	160	106	195	125	2	0	0	0	0	177
0.14	105	160	106	195	125	2	0	0	0	0	177
0.141	105	160	106	195	128	2	0	0	0	0	177
0.142	105	160	106	195	134	2	0	0	0	0	177
0.143	105	160	106	195	135	2	0	0	0	0	177
0.144	105	160	106	195	135	2	0	0	0	0	177
0.145	105	160	106	195	137	2	0	0	0	0	177
0.146	105	160	105	195	137	2	0	0	0	0	177
0.147	105	160	105	195	139	2	0	0	0	0	177
0.148	105	160	105	195	141	2	0	0	0	0	177
0.149	105	160	105	195	141	2	0	0	0	0	177
0.15	105	160	105	195	141	2	0	0	0	0	177
0.151	105	160	105	195	142	2	0	0	0	0	177
0.152	105	160	105	195	143	2	0	0	0	0	177
0.153	105	160	105	195	144	2	0	0	0	0	177
0.154	105	160	105	195	144	2	0	0	0	0	177
0.155	105	160	105	195	145	2	0	0	0	0	177
0.156	105	160	105	195	145	2	0	0	0	0	177
0.157	105	162	107	198	148	2	0	0	0	0	178
0.158	105	162	107	198	148	2	0	0	0	0	178
0.159	105	162	107	198	149	2	0	0	0	0	178
0.16	105	162	107	198	149	2	0	0	0	0	178
0.161	105	162	107	198	150	2	0	0	0	0	178
0.162	105	162	107	198	152	2	0	0	0	0	178
0.163	105	162	107	198	152	2	0	0	0	0	178
0.164	105	162	107	198	152	2	0	0	0	0	178
0.165	105	162	107	198	153	2	0	0	0	0	178
0.166	105	162	107	198	153	2	0	0	0	0	178
0.167	105	162	107	198	153	2	0	0	0	0	178
0.168	105	162	107	198	153	2	0	0	0	0	178
0.169	105	162	107	198	153	2	0	0	0	0	178
0.17	108	166	110	207	153	2	0	0	0	0	179
0.171	108	166	110	207	153	2	0	0	0	0	179
0.172	108	166	110	207	155	2	0	0	0	0	179
0.173	108	166	110	207	155	2	0	0	0	0	179
0.174	108	166	110	207	155	2	0	0	0	0	179
0.175	108	166	110	207	155	2	0	0	0	0	179
0.176	108	166	110	207	155	2	0	0	0	0	179
0.177	108	166	110	207	157	2	0	0	0	0	179
0.178	108	166	110	207	157	2	0	0	0	0	179
0.179	108	166	110	207	158	2	0	0	0	0	179
0.18	108	166	110	207	158	2	0	0	0	0	179
