Time (s),A(lg1),A(lg2),A(lg3),A(lg4),A(lg5),B(lg1),B(lg2),B(lg3),B(lg4),B(lg5),A(lg1!1).A(lg1!1),A(lg2!1).A(lg2!1),A(lg3!1).A(lg3!1),A(lg4!1).A(lg4!1),A(lg5!1).A(lg5!1),A(lg1!1).A(lg2!1),A(lg1!1).A(lg3!1),A(lg1!1).A(lg4!1),A(lg1!1).A(lg5!1),A(lg2!1).A(lg3!1),A(lg2!1).A(lg4!1),A(lg2!1).A(lg5!1),A(lg3!1).A(lg4!1),A(lg3!1).A(lg5!1),A(lg4!1).A(lg5!1),B(lg1!1).B(lg1!1),B(lg2!1).B(lg2!1),B(lg3!1).B(lg3!1),B(lg4!1).B(lg4!1),B(lg5!1).B(lg5!1),B(lg1!1).B(lg2!1),B(lg1!1).B(lg3!1),B(lg1!1).B(lg4!1),B(lg1!1).B(lg5!1),B(lg2!1).B(lg3!1),B(lg2!1).B(lg4!1),B(lg2!1).B(lg5!1),B(lg3!1).B(lg4!1),B(lg3!1).B(lg5!1),B(lg4!1).B(lg5!1),A(lg1!1).B(lg1!1),A(lg1!1).B(lg2!1),A(lg1!1).B(lg3!1),A(lg1!1).B(lg4!1),A(lg1!1).B(lg5!1),A(lg2!1).B(lg1!1),A(lg2!1).B(lg2!1),A(lg2!1).B(lg3!1),A(lg2!1).B(lg4!1),A(lg2!1).B(lg5!1),A(lg3!1).B(lg1!1),A(lg3!1).B(lg2!1),A(lg3!1).B(lg3!1),A(lg3!1).B(lg4!1),A(lg3!1).B(lg5!1),A(lg4!1).B(lg1!1),A(lg4!1).B(lg2!1),A(lg4!1).B(lg3!1),A(lg4!1).B(lg4!1),A(lg4!1).B(lg5!1),A(lg5!1).B(lg1!1),A(lg5!1).B(lg2!1),A(lg5!1).B(lg3!1),A(lg5!1).B(lg4!1),A(lg5!1).B(lg5!1)
0,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,97,95,98,98,95,94,96,95,99,97,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0.002,90,90,94,96,92,94,93,93,97,95,0,2,0,0,0,2,2,0,3,0,1,1,1,2,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0
0.003,88,89,90,93,91,92,91,90,96,92,0,2,1,0,0,2,2,1,3,0,2,1,1,2,1,1,1,2,0,2,2,0,1,0,1,1,0,1,1,0,1,0,2,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0
0.004,85,82,87,89,89,91,90,89,95,91,0,3,2,1,0,2,3,2,3,0,3,2,1,2,1,1,1,2,0,2,2,0,1,0,1,1,0,1,1,0,1,1,2,0,1,0,1,1,1,2,1,1,0,1,0,0,0,1,0,1,2,1,0,0,0
0.005,84,78,82,86,88,85,87,87,87,82,0,3,2,1,0,2,4,2,3,1,4,3,1,2,1,1,1,2,0,2,3,0,3,1,2,1,1,1,2,4,1,1,2,0,1,0,1,1,1,3,1,1,0,3,1,2,0,1,0,1,2,1,0,0,0
0.006,81,74,77,83,85,82,80,81,83,78,0,3,2,1,0,2,5,3,3,2,4,3,2,3,2,1,2,2,0,2,3,1,5,1,2,2,2,1,4,5,1,2,2,0,1,0,2,3,1,3,1,1,1,3,1,2,0,1,0,1,2,2,0,0,0
0.007,77,67,76,80,81,77,76,74,78,72,0,3,2,1,0,2,5,3,3,2,5,3,2,3,4,1,2,3,0,2,3,2,6,2,2,3,2,1,6,5,1,3,3,2,1,2,3,3,2,5,1,1,1,3,2,2,0,1,0,1,2,3,1,0,0
0.008,76,65,74,77,81,76,76,74,77,70,0,3,2,1,0,2,6,3,3,3,6,3,2,3,4,1,2,3,0,2,3,2,6,2,2,3,2,1,6,6,1,3,3,2,1,2,3,3,2,5,1,1,1,3,2,3,0,1,0,2,2,3,1,0,0
0.009,76,65,72,73,77,70,73,72,73,69,0,3,2,1,0,2,6,3,3,3,6,3,3,3,5,1,2,3,0,2,3,2,7,3,2,6,2,1,6,6,1,3,3,2,1,2,3,3,2,5,2,1,1,3,2,5,0,1,0,2,3,3,3,0,0
