Time (s),leg
0,0
0.001,10
0.002,18
0.003,42
0.004,55
0.005,64
0.006,75
0.007,97
0.008,111
0.009,123
0.01,137
0.011,148
0.012,156
0.013,169
0.014,177
0.015,183
0.016,183
0.017,201
0.018,209
0.019,217
0.02,218
0.021,221
0.022,224
0.023,225
0.024,232
0.025,238
0.026,245
0.027,245
0.028,251
0.029,251
0.03,255
0.031,256
0.032,264
0.033,271
0.034,272
0.035,274
0.036,278
0.037,281
0.038,284
0.039,284
0.04,298
0.041,299
0.042,299
0.043,299
0.044,301
0.045,300
0.046,302
0.047,308
0.048,308
0.049,312
0.05,313
0.051,315
0.052,314
0.053,315
0.054,315
0.055,315
0.056,321
0.057,321
0.058,321
0.059,326
0.06,326
0.061,326
0.062,326
0.063,326
0.064,326
0.065,330
0.066,330
0.067,330
0.068,332
0.069,332
0.07,332
0.071,333
0.072,333
0.073,333
0.074,336
0.075,337
0.076,342
0.077,342
0.078,342
0.079,342
0.08,342
0.081,342
0.082,342
0.083,342
0.084,342
0.085,342
0.086,342
0.087,346
0.088,351
0.089,351
0.09,351
0.091,351
0.092,351
0.093,351
0.094,351
0.095,351
0.096,351
0.097,351
0.098,355
0.099,355
0.1,355
0.101,355
0.102,365
0.103,365
0.104,365
0.105,365
0.106,365
0.107,373
0.108,373
0.109,373
0.11,373
0.111,373
0.112,373
0.113,373
0.114,373
0.115,373
0.116,373
0.117,373
0.118,373
0.119,373
0.12,373
0.121,373
0.122,373
0.123,373
0.124,373
0.125,373
0.126,373
0.127,373
0.128,373
0.129,373
0.13,373
0.131,373
0.132,373
0.133,373
0.134,373
0.135,373
0.136,373
0.137,373
0.138,373
0.139,373
0.14,373
0.141,373
0.142,373
0.143,373
0.144,373
0.145,373
0.146,373
0.147,373
0.148,373
0.149,373
0.15,373
0.151,379
0.152,379
0.153,379
0.154,379
0.155,379
0.156,379
0.157,379
0.158,379
0.159,379
0.16,379
0.161,379
0.162,379
0.163,379
0.164,379
0.165,379
0.166,379
0.167,379
0.168,379
0.169,379
0.17,379
0.171,379
0.172,379
0.173,379
0.174,379
0.175,379
0.176,379
0.177,379
0.178,379
0.179,379
0.18,379
0.181,379
0.182,379
0.183,379
0.184,379
0.185,379
0.186,379
0.187,379
0.188,379
0.189,379
0.19,379
0.191,379
0.192,379
0.193,379
0.194,379
0.195,379
0.196,379
0.197,379
0.198,379
0.199,379
0.2,379
0.201,379
0.202,379
0.203,379
0.204,379
0.205,379
0.206,379
0.207,379
0.208,379
0.209,379
0.21,379
0.211,379
0.212,379
0.213,379
0.214,379
0.215,379
0.216,379
0.217,379
0.218,379
0.219,379
0.22,379
0.221,379
0.222,379
0.223,379
0.224,379
0.225,379
0.226,379
0.227,379
0.228,379
0.229,379
0.23,379
0.231,379
0.232,379
0.233,379
0.234,379
0.235,379
0.236,379
0.237,379
0.238,379
0.239,379
0.24,379
0.241,379
0.242,379
0.243,379
0.244,379
0.245,379
0.246,379
0.247,379
0.248,379
0.249,379
0.25,379
0.251,379
0.252,379
0.253,379
0.254,379
0.255,379
0.256,379
0.257,379
0.258,379
0.259,379
0.26,379
0.261,379
0.262,379
0.263,379
0.264,379
0.265,379
0.266,379
0.267,379
0.268,379
0.269,379
0.27,379
0.271,379
0.272,379
0.273,379
0.274,379
0.275,379
0.276,379
0.277,379
0.278,379
0.279,379
0.28,379
0.281,379
0.282,379
0.283,379
0.284,379
0.285,379
0.286,379
0.287,379
0.288,379
0.289,379
0.29,379
0.291,379
0.292,379
0.293,379
0.294,379
0.295,379
0.296,379
0.297,379
0.298,379
0.299,379
0.3,379
0.301,379
0.302,379
0.303,379
0.304,379
0.305,379
0.306,379
0.307,379
0.308,379
0.309,379
0.31,379
0.311,379
0.312,379
0.313,379
0.314,379
0.315,379
0.316,379
0.317,379
0.318,379
0.319,379
0.32,379
0.321,379
0.322,379
0.323,379
0.324,379
0.325,379
0.326,379
0.327,379
0.328,379
0.329,379
0.33,379
0.331,379
0.332,379
0.333,379
0.334,379
0.335,379
0.336,379
0.337,379
0.338,379
0.339,379
0.34,379
0.341,379
0.342,379
0.343,379
0.344,379
0.345,379
0.346,379
0.347,379
0.348,379
0.349,378
0.35,378
0.351,378
0.352,378
0.353,378
0.354,378
0.355,378
0.356,378
0.357,378
0.358,378
0.359,378
0.36,378
0.361,378
0.362,378
0.363,378
0.364,382
0.365,382
0.366,382
0.367,382
0.368,382
0.369,382
0.37,382
0.371,382
0.372,382
0.373,382
0.374,382
0.375,382
0.376,382
0.377,382
0.378,382
0.379,382
0.38,382
0.381,382
0.382,382
0.383,382
0.384,382
0.385,382
0.386,382
0.387,382
0.388,382
0.389,382
0.39,382
0.391,382
0.392,382
0.393,382
0.394,382
0.395,382
0.396,382
0.397,382
0.398,382
0.399,382
0.4,382
0.401,382
0.402,382
0.403,382
0.404,382
0.405,382
0.406,382
0.407,382
0.408,382
0.409,382
0.41,382
0.411,382
0.412,382
0.413,382
0.414,382
0.415,382
0.416,382
0.417,382
0.418,382
0.419,382
0.42,382
0.421,382
0.422,382
0.423,382
0.424,382
0.425,382
0.426,382
0.427,382
0.428,382
0.429,382
0.43,382
0.431,388
0.432,388
0.433,388
0.434,388
0.435,388
0.436,388
0.437,388
0.438,388
0.439,388
0.44,388
0.441,388
0.442,388
0.443,388
0.444,388
0.445,388
0.446,388
0.447,388
0.448,388
0.449,388
0.45,388
0.451,388
0.452,388
0.453,388
0.454,388
0.455,388
0.456,388
0.457,388
0.458,388
0.459,388
0.46,388
0.461,388
0.462,388
0.463,388
0.464,388
0.465,388
0.466,388
0.467,388
0.468,388
0.469,388
0.47,388
0.471,388
0.472,388
0.473,388
0.474,388
0.475,388
0.476,388
0.477,388
0.478,388
0.479,388
0.48,388
0.481,388
0.482,388
0.483,388
0.484,388
0.485,388
0.486,388
0.487,388
0.488,388
0.489,388
0.49,388
0.491,388
0.492,388
0.493,388
0.494,388
0.495,388
0.496,388
0.497,388
0.498,388
0.499,388
0.5,388
0.501,388
0.502,388
0.503,388
0.504,388
0.505,388
0.506,388
0.507,388
0.508,388
0.509,388
0.51,388
0.511,388
0.512,388
0.513,388
0.514,388
0.515,388
0.516,388
0.517,388
0.518,388
0.519,388
0.52,388
0.521,388
0.522,388
0.523,388
0.524,388
0.525,388
0.526,388
0.527,388
0.528,388
0.529,388
0.53,388
0.531,388
0.532,388
0.533,388
0.534,388
0.535,388
0.536,388
0.537,388
0.538,388
0.539,388
0.54,388
0.541,388
0.542,388
0.543,388
0.544,388
0.545,388
0.546,388
0.547,388
0.548,388
0.549,388
0.55,388
0.551,388
0.552,388
0.553,388
0.554,388
0.555,388
0.556,388
0.557,388
0.558,388
0.559,388
0.56,388
0.561,388
0.562,388
0.563,388
0.564,388
0.565,388
0.566,388
0.567,388
0.568,388
0.569,388
0.57,388
0.571,388
0.572,388
0.573,388
0.574,388
0.575,388
0.576,388
0.577,388
0.578,388
0.579,388
0.58,388
0.581,388
0.582,388
0.583,388
0.584,388
0.585,388
0.586,388
0.587,388
0.588,388
0.589,388
0.59,388
0.591,388
0.592,388
0.593,388
0.594,388
0.595,388
0.596,388
0.597,388
0.598,388
0.599,388
0.6,388
0.601,388
0.602,388
0.603,388
0.604,388
0.605,388
0.606,388
0.607,388
0.608,388
0.609,388
0.61,388
0.611,388
0.612,388
0.613,388
0.614,388
0.615,388
0.616,388
0.617,388
0.618,388
0.619,388
0.62,388
0.621,388
0.622,388
0.623,388
0.624,388
0.625,388
0.626,388
0.627,388
0.628,388
0.629,388
0.63,388
0.631,388
0.632,388
0.633,388
0.634,388
0.635,388
0.636,388
0.637,388
0.638,388
0.639,388
0.64,388
0.641,388
0.642,388
0.643,388
0.644,388
0.645,388
0.646,388
0.647,388
0.648,388
0.649,388
0.65,388
0.651,388
0.652,388
0.653,388
0.654,388
0.655,388
0.656,388
0.657,388
0.658,388
0.659,388
0.66,388
0.661,388
0.662,388
0.663,388
0.664,388
0.665,388
0.666,388
0.667,388
0.668,388
0.669,388
0.67,388
0.671,388
0.672,388
0.673,388
0.674,388
0.675,388
0.676,388
0.677,388
0.678,388
0.679,388
0.68,388
0.681,388
0.682,388
0.683,388
0.684,388
0.685,388
0.686,388
0.687,388
0.688,388
0.689,388
0.69,388
0.691,388
0.692,388
0.693,388
0.694,388
0.695,388
0.696,388
0.697,388
0.698,388
0.699,388
0.7,388
0.701,388
0.702,388
0.703,388
0.704,388
0.705,388
0.706,388
0.707,388
0.708,388
0.709,388
0.71,388
0.711,388
0.712,388
0.713,388
0.714,388
0.715,388
0.716,388
0.717,388
0.718,388
0.719,388
0.72,388
0.721,388
0.722,388
0.723,387
0.724,387
0.725,387
0.726,387
0.727,387
0.728,387
0.729,387
0.73,387
0.731,387
0.732,387
0.733,387
0.734,387
0.735,387
0.736,387
0.737,387
0.738,387
0.739,387
0.74,387
0.741,387
0.742,387
0.743,387
0.744,387
0.745,387
0.746,387
0.747,387
0.748,387
0.749,387
0.75,387
0.751,387
0.752,387
0.753,387
0.754,387
0.755,387
0.756,387
0.757,386
0.758,386
0.759,389
0.76,389
0.761,389
0.762,389
0.763,389
0.764,389
0.765,389
0.766,389
0.767,389
0.768,389
0.769,389
0.77,389
0.771,389
0.772,389
0.773,389
0.774,389
0.775,389
0.776,389
0.777,389
0.778,389
0.779,389
0.78,389
0.781,389
0.782,389
0.783,389
0.784,389
0.785,389
0.786,389
0.787,389
0.788,389
0.789,389
0.79,389
0.791,389
0.792,389
0.793,389
0.794,389
0.795,389
0.796,389
0.797,389
0.798,395
0.799,395
0.8,395
0.801,395
0.802,395
0.803,395
0.804,395
0.805,395
0.806,395
0.807,395
0.808,395
0.809,395
0.81,395
0.811,395
0.812,395
0.813,395
0.814,395
0.815,395
0.816,395
0.817,395
0.818,395
0.819,395
0.82,395
0.821,395
0.822,395
0.823,395
0.824,395
0.825,395
0.826,395
0.827,395
0.828,395
0.829,395
0.83,395
0.831,395
0.832,395
0.833,395
0.834,395
0.835,395
0.836,395
0.837,395
0.838,395
0.839,395
0.84,395
0.841,395
0.842,395
0.843,395
0.844,395
0.845,395
0.846,395
0.847,395
0.848,395
0.849,395
0.85,395
0.851,395
0.852,395
0.853,395
0.854,395
0.855,395
0.856,395
0.857,395
0.858,395
0.859,395
0.86,395
0.861,395
0.862,395
0.863,395
0.864,395
0.865,395
0.866,395
0.867,395
0.868,395
0.869,395
0.87,395
0.871,395
0.872,395
0.873,395
0.874,395
0.875,395
0.876,395
0.877,395
0.878,395
0.879,395
0.88,395
0.881,395
0.882,395
0.883,395
0.884,395
0.885,395
0.886,395
0.887,395
0.888,395
0.889,395
0.89,395
0.891,395
0.892,395
0.893,395
0.894,395
0.895,395
0.896,395
0.897,395
0.898,395
0.899,395
0.9,395
0.901,395
0.902,395
0.903,395
0.904,395
0.905,395
0.906,395
0.907,395
0.908,395
0.909,395
0.91,395
0.911,395
0.912,395
0.913,395
0.914,395
0.915,395
0.916,395
0.917,395
0.918,395
0.919,395
0.92,395
0.921,395
0.922,395
0.923,395
0.924,395
0.925,395
0.926,395
0.927,395
0.928,395
0.929,395
0.93,395
0.931,395
0.932,395
0.933,395
0.934,395
0.935,395
0.936,395
0.937,395
0.938,395
0.939,395
0.94,395
0.941,395
0.942,395
0.943,395
0.944,395
0.945,395
0.946,395
0.947,395
0.948,395
0.949,395
0.95,395
0.951,395
0.952,395
0.953,395
0.954,395
0.955,395
0.956,395
0.957,395
0.958,395
0.959,395
0.96,395
0.961,395
0.962,395
0.963,395
0.964,395
0.965,395
0.966,395
0.967,395
0.968,395
0.969,395
0.97,395
0.971,395
0.972,395
0.973,395
0.974,395
0.975,395
0.976,395
0.977,395
0.978,395
0.979,395
0.98,395
0.981,395
0.982,395
0.983,395
0.984,395
0.985,395
0.986,395
0.987,395
0.988,395
0.989,395
0.99,395
0.991,395
0.992,395
0.993,395
0.994,395
0.995,395
0.996,395
0.997,395
0.998,395
0.999,395
1,395
