TIME(s)	'pip2,ap2'	'ap2,clat'	'clat,clat'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0	0
0.015	21	0	1	0	0	0	0	0	0	0	22
0.03	32	0	3	0	0	0	0	0	0	0	36
0.045	58	0	4	0	0	0	0	0	0	0	65
0.06	74	0	5	0	0	0	0	0	0	0	83
0.075	90	0	5	0	0	0	0	0	0	0	100
0.09	99	0	7	0	0	0	0	0	0	0	114
0.105	109	0	8	0	0	0	0	0	0	0	126
0.12	118	0	6	0	0	0	0	0	0	0	136
0.135	126	0	5	0	0	0	0	0	0	0	145
0.15	134	0	5	0	0	0	0	0	0	0	154
0.165	137	0	4	0	0	0	0	0	0	0	158
0.18	142	0	4	0	0	0	0	0	0	0	165
0.195	144	0	3	0	0	0	0	0	0	0	168
0.21	145	0	2	0	0	0	0	0	0	0	172
0.225	149	0	2	0	0	0	0	0	0	0	176
0.24	151	0	2	0	0	0	0	0	0	0	181
0.255	150	0	3	0	0	0	0	0	0	0	183
0.27	153	0	2	0	0	0	0	0	0	0	187
0.285	158	0	2	0	0	0	0	0	0	0	193
0.3	156	0	3	0	0	0	0	0	0	0	195
0.315	157	0	5	0	0	0	0	0	0	0	198
0.33	156	0	5	0	0	0	0	0	0	0	199
0.345	156	0	6	0	0	0	0	0	0	0	204
0.36	159	0	7	0	0	0	0	0	0	0	209
0.375	160	0	8	0	0	0	0	0	0	0	213
0.39	161	0	10	0	0	0	0	0	0	0	218
0.405	160	0	9	0	0	0	0	0	0	0	220
0.42	158	0	8	0	0	0	0	0	0	0	225
0.435	157	0	7	0	0	0	0	0	0	0	225
0.45	158	0	7	0	0	0	0	0	0	0	228
0.465	158	0	10	0	0	0	0	0	0	0	232
0.48	160	0	11	0	0	0	0	0	0	0	237
0.495	160	0	7	0	0	0	0	0	0	0	239
0.51	160	0	8	0	0	0	0	0	0	0	245
0.525	160	0	7	0	0	0	0	0	0	0	249
0.54	161	0	5	0	0	0	0	0	0	0	253
0.555	162	0	4	0	0	0	0	0	0	0	254
0.57	163	0	5	0	0	0	0	0	0	0	258
0.585	163	0	7	0	0	0	0	0	0	0	262
0.6	168	0	7	0	0	0	0	0	0	0	269
0.615	165	0	8	0	0	0	0	0	0	0	270
0.63	161	0	6	0	0	0	0	0	0	0	271
0.645	160	0	6	0	0	0	0	0	0	0	273
0.66	159	0	9	0	0	0	0	0	0	0	279
0.675	160	0	9	0	0	0	0	0	0	0	284
0.69	159	0	7	0	0	0	0	0	0	0	285
0.705	157	0	6	0	0	0	0	0	0	0	287
0.72	159	0	6	0	0	0	0	0	0	0	294
0.735	159	0	8	0	0	0	0	0	0	0	300
0.75	160	0	7	0	0	0	0	0	0	0	302
0.765	162	0	7	0	0	0	0	0	0	0	307
0.78	162	0	7	0	0	0	0	0	0	0	310
0.795	161	0	8	0	0	0	0	0	0	0	311
0.81	163	0	6	0	0	0	0	0	0	0	315
