Time (s): 0
2500	gag: 1. 
Time (s): 0.0005
2432	gag: 1. 
34	gag: 2. 
Time (s): 0.001
2374	gag: 1. 
63	gag: 2. 
Time (s): 0.0015
2310	gag: 1. 
95	gag: 2. 
Time (s): 0.002
2248	gag: 1. 
120	gag: 2. 
4	gag: 3. 
Time (s): 0.0025
2205	gag: 1. 
141	gag: 2. 
3	gag: 3. 
1	gag: 4. 
Time (s): 0.003
2162	gag: 1. 
160	gag: 2. 
2	gag: 3. 
3	gag: 4. 
Time (s): 0.0035
2121	gag: 1. 
177	gag: 2. 
4	gag: 3. 
2	gag: 4. 
1	gag: 5. 
Time (s): 0.004
2075	gag: 1. 
197	gag: 2. 
6	gag: 3. 
2	gag: 4. 
1	gag: 5. 
Time (s): 0.0045
2045	gag: 1. 
206	gag: 2. 
10	gag: 3. 
2	gag: 4. 
1	gag: 5. 
Time (s): 0.005
2005	gag: 1. 
216	gag: 2. 
15	gag: 3. 
2	gag: 4. 
2	gag: 5. 
Time (s): 0.0055
1976	gag: 1. 
229	gag: 2. 
16	gag: 3. 
2	gag: 4. 
2	gag: 5. 
Time (s): 0.006
1941	gag: 1. 
242	gag: 2. 
19	gag: 3. 
2	gag: 4. 
2	gag: 5. 
Time (s): 0.0065
1898	gag: 1. 
25	gag: 3. 
257	gag: 2. 
2	gag: 4. 
1	gag: 5. 
Time (s): 0.007
1862	gag: 1. 
29	gag: 3. 
269	gag: 2. 
2	gag: 4. 
1	gag: 5. 
Time (s): 0.0075
1800	gag: 1. 
39	gag: 3. 
285	gag: 2. 
2	gag: 4. 
1	gag: 5. 
Time (s): 0.008
1760	gag: 1. 
288	gag: 2. 
49	gag: 3. 
3	gag: 4. 
1	gag: 5. 
Time (s): 0.0085
1730	gag: 1. 
293	gag: 2. 
53	gag: 3. 
5	gag: 4. 
1	gag: 5. 
Time (s): 0.009
1695	gag: 1. 
301	gag: 2. 
58	gag: 3. 
6	gag: 4. 
1	gag: 5. 
Time (s): 0.0095
1661	gag: 1. 
305	gag: 2. 
64	gag: 3. 
8	gag: 4. 
1	gag: 5. 
Time (s): 0.01
1631	gag: 1. 
308	gag: 2. 
69	gag: 3. 
9	gag: 4. 
2	gag: 5. 
Time (s): 0.0105
1594	gag: 1. 
320	gag: 2. 
72	gag: 3. 
10	gag: 4. 
2	gag: 5. 
Time (s): 0.011
1564	gag: 1. 
328	gag: 2. 
74	gag: 3. 
12	gag: 4. 
2	gag: 5. 
Time (s): 0.0115
1532	gag: 1. 
334	gag: 2. 
78	gag: 3. 
14	gag: 4. 
2	gag: 5. 
Time (s): 0.012
1510	gag: 1. 
340	gag: 2. 
80	gag: 3. 
15	gag: 4. 
2	gag: 5. 
Time (s): 0.0125
1482	gag: 1. 
341	gag: 2. 
87	gag: 3. 
15	gag: 4. 
3	gag: 5. 
Time (s): 0.013
1461	gag: 1. 
343	gag: 2. 
92	gag: 3. 
14	gag: 4. 
3	gag: 5. 
1	gag: 6. 
Time (s): 0.0135
1431	gag: 1. 
354	gag: 2. 
93	gag: 3. 
14	gag: 4. 
4	gag: 5. 
1	gag: 6. 
Time (s): 0.014
1409	gag: 1. 
355	gag: 2. 
97	gag: 3. 
15	gag: 4. 
6	gag: 5. 
Time (s): 0.0145
1375	gag: 1. 
360	gag: 2. 
101	gag: 3. 
18	gag: 4. 
6	gag: 5. 
Time (s): 0.015
1354	gag: 1. 
363	gag: 2. 
99	gag: 3. 
22	gag: 4. 
7	gag: 5. 
Time (s): 0.0155
1319	gag: 1. 
367	gag: 2. 
101	gag: 3. 
26	gag: 4. 
8	gag: 5. 
Time (s): 0.016
1292	gag: 1. 
106	gag: 3. 
372	gag: 2. 
24	gag: 4. 
10	gag: 5. 
Time (s): 0.0165
1271	gag: 1. 
371	gag: 2. 
109	gag: 3. 
25	gag: 4. 
12	gag: 5. 
Time (s): 0.017
1249	gag: 1. 
374	gag: 2. 
113	gag: 3. 
26	gag: 4. 
12	gag: 5. 
Time (s): 0.0175
1228	gag: 1. 
381	gag: 2. 
114	gag: 3. 
27	gag: 4. 
12	gag: 5. 
Time (s): 0.018
1206	gag: 1. 
388	gag: 2. 
116	gag: 3. 
25	gag: 4. 
14	gag: 5. 
Time (s): 0.0185
392	gag: 2. 
117	gag: 3. 
1185	gag: 1. 
26	gag: 4. 
14	gag: 5. 
1	gag: 6. 
Time (s): 0.019
393	gag: 2. 
115	gag: 3. 
1180	gag: 1. 
27	gag: 4. 
15	gag: 5. 
1	gag: 6. 
Time (s): 0.0195
392	gag: 2. 
116	gag: 3. 
1174	gag: 1. 
28	gag: 4. 
14	gag: 5. 
2	gag: 6. 
Time (s): 0.02
391	gag: 2. 
119	gag: 3. 
1159	gag: 1. 
30	gag: 4. 
14	gag: 5. 
2	gag: 6. 
Time (s): 0.02
391	gag: 2. 
119	gag: 3. 
1159	gag: 1. 
30	gag: 4. 
14	gag: 5. 
2	gag: 6. 
