Time (s): 0
200	dode: 1. 
Time (s): 0.001
196	dode: 1. 
2	dode: 2. 
Time (s): 0.002
190	dode: 1. 
5	dode: 2. 
Time (s): 0.003
188	dode: 1. 
6	dode: 2. 
Time (s): 0.004
186	dode: 1. 
7	dode: 2. 
Time (s): 0.005
186	dode: 1. 
7	dode: 2. 
Time (s): 0.006
184	dode: 1. 
8	dode: 2. 
Time (s): 0.007
182	dode: 1. 
9	dode: 2. 
Time (s): 0.008
180	dode: 1. 
10	dode: 2. 
Time (s): 0.009
176	dode: 1. 
12	dode: 2. 
Time (s): 0.01
175	dode: 1. 
1	dode: 3. 
11	dode: 2. 
Time (s): 0.011
171	dode: 1. 
1	dode: 3. 
13	dode: 2. 
Time (s): 0.012
170	dode: 1. 
2	dode: 3. 
12	dode: 2. 
Time (s): 0.013
167	dode: 1. 
3	dode: 3. 
12	dode: 2. 
Time (s): 0.014
165	dode: 1. 
3	dode: 3. 
13	dode: 2. 
Time (s): 0.015
163	dode: 1. 
3	dode: 3. 
14	dode: 2. 
Time (s): 0.016
161	dode: 1. 
3	dode: 3. 
15	dode: 2. 
Time (s): 0.017
159	dode: 1. 
3	dode: 3. 
16	dode: 2. 
Time (s): 0.018
155	dode: 1. 
3	dode: 3. 
18	dode: 2. 
Time (s): 0.019
148	dode: 1. 
6	dode: 3. 
15	dode: 2. 
1	dode: 4. 
Time (s): 0.02
146	dode: 1. 
6	dode: 3. 
16	dode: 2. 
1	dode: 4. 
Time (s): 0.021
146	dode: 1. 
6	dode: 3. 
16	dode: 2. 
1	dode: 4. 
Time (s): 0.022
144	dode: 1. 
8	dode: 3. 
14	dode: 2. 
1	dode: 4. 
Time (s): 0.023
144	dode: 1. 
8	dode: 3. 
14	dode: 2. 
1	dode: 4. 
Time (s): 0.024
143	dode: 1. 
7	dode: 3. 
14	dode: 2. 
2	dode: 4. 
Time (s): 0.025
141	dode: 1. 
15	dode: 2. 
5	dode: 3. 
1	dode: 6. 
2	dode: 4. 
Time (s): 0.026
139	dode: 1. 
16	dode: 2. 
5	dode: 3. 
1	dode: 6. 
2	dode: 4. 
Time (s): 0.027
139	dode: 1. 
16	dode: 2. 
5	dode: 3. 
1	dode: 6. 
2	dode: 4. 
Time (s): 0.028
132	dode: 1. 
6	dode: 3. 
1	dode: 6. 
18	dode: 2. 
2	dode: 4. 
Time (s): 0.029
131	dode: 1. 
7	dode: 3. 
1	dode: 6. 
17	dode: 2. 
2	dode: 4. 
Time (s): 0.03
129	dode: 1. 
7	dode: 3. 
1	dode: 6. 
18	dode: 2. 
2	dode: 4. 
Time (s): 0.031
129	dode: 1. 
7	dode: 3. 
1	dode: 6. 
18	dode: 2. 
2	dode: 4. 
Time (s): 0.032
129	dode: 1. 
7	dode: 3. 
1	dode: 6. 
18	dode: 2. 
2	dode: 4. 
Time (s): 0.033
129	dode: 1. 
7	dode: 3. 
1	dode: 6. 
18	dode: 2. 
2	dode: 4. 
Time (s): 0.034
126	dode: 1. 
7	dode: 3. 
19	dode: 2. 
2	dode: 4. 
1	dode: 7. 
Time (s): 0.035
123	dode: 1. 
7	dode: 3. 
18	dode: 2. 
1	dode: 5. 
2	dode: 4. 
1	dode: 7. 
Time (s): 0.036
123	dode: 1. 
7	dode: 3. 
18	dode: 2. 
1	dode: 5. 
2	dode: 4. 
1	dode: 7. 
Time (s): 0.037
122	dode: 1. 
8	dode: 3. 
17	dode: 2. 
1	dode: 5. 
2	dode: 4. 
1	dode: 7. 
Time (s): 0.038
120	dode: 1. 
8	dode: 3. 
18	dode: 2. 
1	dode: 5. 
2	dode: 4. 
1	dode: 7. 
Time (s): 0.039
118	dode: 1. 
8	dode: 3. 
19	dode: 2. 
1	dode: 5. 
2	dode: 4. 
1	dode: 7. 
Time (s): 0.04
118	dode: 1. 
8	dode: 3. 
17	dode: 2. 
1	dode: 5. 
3	dode: 4. 
1	dode: 7. 
Time (s): 0.041
117	dode: 1. 
7	dode: 3. 
17	dode: 2. 
1	dode: 5. 
4	dode: 4. 
1	dode: 7. 
Time (s): 0.042
115	dode: 1. 
8	dode: 3. 
16	dode: 2. 
2	dode: 5. 
3	dode: 4. 
1	dode: 7. 
Time (s): 0.043
114	dode: 1. 
7	dode: 3. 
4	dode: 4. 
16	dode: 2. 
2	dode: 5. 
1	dode: 7. 
Time (s): 0.044
112	dode: 1. 
7	dode: 3. 
4	dode: 4. 
17	dode: 2. 
2	dode: 5. 
1	dode: 7. 
Time (s): 0.045
112	dode: 1. 
7	dode: 3. 
4	dode: 4. 
17	dode: 2. 
2	dode: 5. 
1	dode: 7. 
Time (s): 0.046
108	dode: 1. 
9	dode: 3. 
4	dode: 4. 
2	dode: 5. 
16	dode: 2. 
1	dode: 7. 
Time (s): 0.047
108	dode: 1. 
9	dode: 3. 
