TIME(s)	'C,A'	'C,B'	'A,B'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0	0
0.002	27	30	32	17	17	0	0	0	0	0	72
0.004	36	37	39	28	23	0	0	0	0	0	85
0.006	39	40	41	31	28	0	0	0	0	0	92
0.008	38	40	41	31	35	0	0	0	0	0	93
0.01	41	42	42	34	41	0	0	0	0	0	96
0.012	40	42	42	34	42	0	0	0	0	0	96
0.014	42	42	43	35	46	0	0	0	0	0	99
0.016	43	43	44	37	53	0	0	0	0	0	101
0.018	43	43	44	37	55	0	0	0	0	0	101
0.02	44	44	44	38	57	0	0	0	0	0	102
0.022	44	44	45	39	58	0	0	0	0	0	103
0.024	44	44	45	39	61	0	0	0	0	0	103
0.026	44	44	45	39	64	0	0	0	0	0	103
0.028	44	44	45	39	68	0	0	0	0	0	103
0.03	44	44	45	39	69	0	0	0	0	0	104
0.032	44	44	45	39	70	0	0	0	0	0	104
0.034	44	44	45	39	76	0	0	0	0	0	104
0.036	44	44	45	39	78	0	0	0	0	0	104
0.038	44	44	45	39	82	0	0	0	0	0	104
0.04	44	44	45	39	83	0	0	0	0	0	104
0.042	44	44	45	39	87	0	0	0	0	0	104
0.044	45	45	45	40	89	0	0	0	0	0	105
0.046	45	45	45	40	97	0	0	0	0	0	105
0.048	45	45	45	40	99	0	0	0	0	0	105
0.05	45	45	45	40	100	0	0	0	0	0	105
0.052	45	45	45	40	105	0	0	0	0	0	106
0.054	45	45	45	40	108	0	0	0	0	0	107
0.056	45	45	45	40	110	0	0	0	0	0	108
0.058	45	45	45	40	113	0	0	0	0	0	108
0.06	45	45	45	40	114	0	0	0	0	0	108
0.062	45	45	45	40	116	0	0	0	0	0	108
0.064	45	45	45	40	120	0	0	0	0	0	108
0.066	44	45	45	40	121	0	0	0	0	0	108
0.068	44	45	45	40	122	0	0	0	0	0	108
0.07	45	46	45	41	123	0	0	0	0	0	109
0.072	45	46	45	41	126	0	0	0	0	0	109
0.074	45	46	45	41	126	0	0	0	0	0	110
0.076	46	46	46	42	126	0	0	0	0	0	111
0.078	46	46	46	42	126	0	0	0	0	0	111
0.08	46	46	46	42	131	0	0	0	0	0	112
0.082	46	46	46	42	131	0	0	0	0	0	112
0.084	46	46	46	42	135	0	0	0	0	0	112
0.086	46	46	46	42	140	0	0	0	0	0	112
0.088	46	46	46	42	142	0	0	0	0	0	112
0.09	46	46	46	42	142	0	0	0	0	0	112
0.092	46	46	46	42	145	0	0	0	0	0	112
0.094	46	46	46	42	145	0	0	0	0	0	112
0.096	46	46	45	42	145	0	0	0	0	0	112
0.098	46	46	45	42	146	0	0	0	0	0	112
0.1	46	46	45	42	146	0	0	0	0	0	113
0.102	46	47	46	43	148	0	0	0	0	0	115
0.104	47	47	47	44	151	0	0	0	0	0	116
0.106	47	47	47	44	151	0	0	0	0	0	116
0.108	47	47	47	44	151	0	0	0	0	0	116
0.11	47	47	47	44	152	0	0	0	0	0	117
0.112	47	47	47	44	153	0	0	0	0	0	117
0.114	47	47	47	44	154	0	0	0	0	0	117
0.116	47	47	47	44	154	0	0	0	0	0	117
0.118	47	47	47	44	156	0	0	0	0	0	118
0.12	47	47	47	44	157	0	0	0	0	0	118
0.122	47	47	47	44	157	0	0	0	0	0	119
0.124	47	47	47	44	157	0	0	0	0	0	120
0.126	47	47	47	44	160	0	0	0	0	0	120
0.128	47	47	47	44	163	0	0	0	0	0	120
0.13	47	47	47	44	163	0	0	0	0	0	120
0.132	47	47	47	44	163	0	0	0	0	0	120
0.134	47	47	47	44	164	0	0	0	0	0	121
0.136	47	47	47	44	165	0	0	0	0	0	121
0.138	47	47	47	44	165	0	0	0	0	0	121
0.14	47	47	47	44	166	0	0	0	0	0	121
0.142	47	47	47	44	166	0	0	0	0	0	121
0.144	46	47	47	44	166	0	0	0	0	0	121
0.146	47	47	47	44	166	0	0	0	0	0	122
0.148	47	47	47	44	166	0	0	0	0	0	122
0.15	47	47	47	44	166	0	0	0	0	0	122
0.152	47	47	47	44	166	0	0	0	0	0	122
0.154	47	47	47	44	166	0	0	0	0	0	122
0.156	47	47	47	44	166	0	0	0	0	0	123
0.158	47	47	47	44	166	0	0	0	0	0	123
0.16	47	47	47	44	166	0	0	0	0	0	123
0.162	47	47	47	44	167	0	0	0	0	0	123
0.164	47	47	47	44	167	0	0	0	0	0	123
0.166	47	47	47	44	170	0	0	0	0	0	123
0.168	47	47	47	44	170	0	0	0	0	0	124
0.17	47	47	47	44	170	0	0	0	0	0	125
0.172	47	47	47	44	171	0	0	0	0	0	125
0.174	47	47	47	44	172	0	0	0	0	0	125
0.176	47	47	47	44	172	0	0	0	0	0	125
0.178	47	47	47	44	172	0	0	0	0	0	125
0.18	47	47	47	44	174	0	0	0	0	0	125
0.182	47	47	47	44	174	0	0	0	0	0	125
0.184	47	47	47	44	176	0	0	0	0	0	125
0.186	47	47	47	44	177	0	0	0	0	0	125
0.188	47	47	47	44	179	0	0	0	0	0	125
0.19	46	47	47	44	179	0	0	0	0	0	125
0.192	46	47	47	44	180	0	0	0	0	0	125
0.194	46	47	47	44	180	0	0	0	0	0	125
0.196	46	47	47	44	181	0	0	0	0	0	125
0.198	47	47	47	44	183	0	0	0	0	0	126
0.2	47	47	47	44	183	0	0	0	0	0	126
