Time (s),C(A1),C(B1),A(C1),A(B1),B(C1),B(A1),C(A1!1).A(C1!1),C(B1!1).B(C1!1),A(B1!1).B(A1!1)
0,50,50,50,50,50,50,0,0,0
0.002,23,20,23,18,20,18,27,30,32
0.004,14,13,14,11,13,11,36,37,39
0.006,11,10,11,9,10,9,39,40,41
0.008,12,10,12,9,10,9,38,40,41
0.01,9,8,9,8,8,8,41,42,42
0.012,10,8,10,8,8,8,40,42,42
0.014,8,8,8,7,8,7,42,42,43
0.016,7,7,7,6,7,6,43,43,44
0.018,7,7,7,6,7,6,43,43,44
0.02,6,6,6,6,6,6,44,44,44
0.022,6,6,6,5,6,5,44,44,45
0.024,6,6,6,5,6,5,44,44,45
0.026,6,6,6,5,6,5,44,44,45
0.028,6,6,6,5,6,5,44,44,45
0.03,6,6,6,5,6,5,44,44,45
0.032,6,6,6,5,6,5,44,44,45
0.034,6,6,6,5,6,5,44,44,45
0.036,6,6,6,5,6,5,44,44,45
0.038,6,6,6,5,6,5,44,44,45
0.04,6,6,6,5,6,5,44,44,45
0.042,6,6,6,5,6,5,44,44,45
0.044,5,5,5,5,5,5,45,45,45
0.046,5,5,5,5,5,5,45,45,45
0.048,5,5,5,5,5,5,45,45,45
0.05,5,5,5,5,5,5,45,45,45
0.052,5,5,5,5,5,5,45,45,45
0.054,5,5,5,5,5,5,45,45,45
0.056,5,5,5,5,5,5,45,45,45
0.058,5,5,5,5,5,5,45,45,45
0.06,5,5,5,5,5,5,45,45,45
0.062,5,5,5,5,5,5,45,45,45
0.064,5,5,5,5,5,5,45,45,45
0.066,6,5,6,5,5,5,44,45,45
0.068,6,5,6,5,5,5,44,45,45
0.07,5,4,5,5,4,5,45,46,45
0.072,5,4,5,5,4,5,45,46,45
0.074,5,4,5,5,4,5,45,46,45
0.076,4,4,4,4,4,4,46,46,46
0.078,4,4,4,4,4,4,46,46,46
0.08,4,4,4,4,4,4,46,46,46
0.082,4,4,4,4,4,4,46,46,46
0.084,4,4,4,4,4,4,46,46,46
0.086,4,4,4,4,4,4,46,46,46
0.088,4,4,4,4,4,4,46,46,46
0.09,4,4,4,4,4,4,46,46,46
0.092,4,4,4,4,4,4,46,46,46
0.094,4,4,4,4,4,4,46,46,46
0.096,4,4,4,5,4,5,46,46,45
0.098,4,4,4,5,4,5,46,46,45
0.1,4,4,4,5,4,5,46,46,45
0.102,4,3,4,4,3,4,46,47,46
0.104,3,3,3,3,3,3,47,47,47
0.106,3,3,3,3,3,3,47,47,47
0.108,3,3,3,3,3,3,47,47,47
0.11,3,3,3,3,3,3,47,47,47
0.112,3,3,3,3,3,3,47,47,47
0.114,3,3,3,3,3,3,47,47,47
0.116,3,3,3,3,3,3,47,47,47
0.118,3,3,3,3,3,3,47,47,47
0.12,3,3,3,3,3,3,47,47,47
0.122,3,3,3,3,3,3,47,47,47
0.124,3,3,3,3,3,3,47,47,47
0.126,3,3,3,3,3,3,47,47,47
0.128,3,3,3,3,3,3,47,47,47
0.13,3,3,3,3,3,3,47,47,47
0.132,3,3,3,3,3,3,47,47,47
0.134,3,3,3,3,3,3,47,47,47
0.136,3,3,3,3,3,3,47,47,47
0.138,3,3,3,3,3,3,47,47,47
0.14,3,3,3,3,3,3,47,47,47
0.142,3,3,3,3,3,3,47,47,47
0.144,4,3,4,3,3,3,46,47,47
0.146,3,3,3,3,3,3,47,47,47
0.148,3,3,3,3,3,3,47,47,47
0.15,3,3,3,3,3,3,47,47,47
0.152,3,3,3,3,3,3,47,47,47
0.154,3,3,3,3,3,3,47,47,47
0.156,3,3,3,3,3,3,47,47,47
0.158,3,3,3,3,3,3,47,47,47
0.16,3,3,3,3,3,3,47,47,47
0.162,3,3,3,3,3,3,47,47,47
0.164,3,3,3,3,3,3,47,47,47
0.166,3,3,3,3,3,3,47,47,47
0.168,3,3,3,3,3,3,47,47,47
0.17,3,3,3,3,3,3,47,47,47
0.172,3,3,3,3,3,3,47,47,47
0.174,3,3,3,3,3,3,47,47,47
0.176,3,3,3,3,3,3,47,47,47
0.178,3,3,3,3,3,3,47,47,47
0.18,3,3,3,3,3,3,47,47,47
0.182,3,3,3,3,3,3,47,47,47
0.184,3,3,3,3,3,3,47,47,47
0.186,3,3,3,3,3,3,47,47,47
0.188,3,3,3,3,3,3,47,47,47
0.19,4,3,4,3,3,3,46,47,47
0.192,4,3,4,3,3,3,46,47,47
0.194,4,3,4,3,3,3,46,47,47
0.196,4,3,4,3,3,3,46,47,47
0.198,3,3,3,3,3,3,47,47,47
0.2,3,3,3,3,3,3,47,47,47
