TIME (s) 	MONO:C	DIMERS W:C	MONO:A	DIMERS W:A	MONO:B	DIMERS W:B	
0	50	0	50	0	50	0	
0.002	6	22	8	20	8	20	
0.004	2	18	3	17	3	17	
0.006	2	15	3	14	0	17	
0.008	2	15	3	14	0	17	
0.01	1	13	1	13	0	14	
0.012	0	13	1	12	0	13	
0.014	0	13	1	12	0	13	
0.016	0	12	0	12	0	12	
0.018	0	12	0	12	0	12	
0.02	0	12	0	12	0	12	
0.022	0	12	0	12	0	12	
0.024	0	12	0	12	0	12	
0.026	0	12	0	12	0	12	
0.028	0	12	0	12	0	12	
0.03	0	12	0	12	0	12	
0.032	0	12	0	12	0	12	
0.034	0	12	0	12	0	12	
0.036	0	12	0	12	0	12	
0.038	0	12	0	12	0	12	
0.04	0	12	0	12	0	12	
0.042	0	12	0	12	0	12	
0.044	0	12	0	12	0	12	
0.046	0	12	0	12	0	12	
0.048	0	12	0	12	0	12	
0.05	0	12	0	12	0	12	
0.052	0	12	0	12	0	12	
0.054	0	12	0	12	0	12	
0.056	0	12	0	12	0	12	
0.058	0	12	0	12	0	12	
0.06	0	12	0	12	0	12	
0.062	0	12	0	12	0	12	
0.064	0	12	0	12	0	12	
0.066	0	12	0	12	0	12	
0.068	0	12	0	12	0	12	
0.07	0	12	0	12	0	12	
0.072	1	11	0	12	1	11	
0.074	1	11	0	12	1	11	
0.076	1	11	0	12	1	11	
0.078	1	10	0	11	0	11	
0.08	1	10	0	11	0	11	
0.082	1	10	0	11	0	11	
0.084	0	10	0	10	0	10	
0.086	0	10	0	10	0	10	
0.088	0	10	0	10	0	10	
0.09	0	10	0	10	0	10	
0.092	0	10	0	10	0	10	
0.094	0	10	0	10	0	10	
0.096	0	10	0	10	0	10	
0.098	0	10	0	10	0	10	
0.1	0	10	0	10	0	10	
0.102	0	10	0	10	0	10	
0.104	0	10	0	10	0	10	
0.106	0	10	0	10	0	10	
0.108	0	10	0	10	0	10	
0.11	0	10	0	10	0	10	
0.112	0	10	0	10	0	10	
0.114	0	10	0	10	0	10	
0.116	0	10	0	10	0	10	
0.118	0	10	0	10	0	10	
0.12	0	10	0	10	0	10	
0.122	0	10	0	10	0	10	
0.124	0	10	0	10	0	10	
0.126	0	10	0	10	0	10	
0.128	0	10	0	10	0	10	
0.13	0	10	0	10	0	10	
0.132	0	10	0	10	0	10	
0.134	0	10	0	10	0	10	
0.136	0	10	0	10	0	10	
0.138	0	10	0	10	0	10	
0.14	0	10	0	10	0	10	
0.142	0	10	0	10	0	10	
0.144	0	10	0	10	0	10	
0.146	0	10	0	10	0	10	
0.148	0	10	0	10	0	10	
0.15	0	10	0	10	0	10	
0.152	0	10	0	10	0	10	
0.154	0	10	0	10	0	10	
0.156	0	10	0	10	0	10	
0.158	0	10	0	10	0	10	
0.16	1	9	1	9	0	10	
0.162	0	9	1	8	0	9	
0.164	0	9	1	8	0	9	
0.166	0	9	1	8	0	9	
0.168	0	8	0	8	0	8	
0.17	0	8	0	8	0	8	
0.172	0	8	0	8	0	8	
0.174	0	8	0	8	0	8	
0.176	0	8	0	8	0	8	
0.178	0	8	0	8	0	8	
0.18	0	8	0	8	0	8	
0.182	0	8	0	8	0	8	
0.184	0	8	0	8	0	8	
0.186	0	8	0	8	0	8	
0.188	0	8	0	8	0	8	
0.19	0	8	0	8	0	8	
0.192	0	8	0	8	0	8	
0.194	0	8	0	8	0	8	
0.196	0	8	0	8	0	8	
0.198	0	8	0	8	0	8	
0.2	0	8	0	8	0	8	
