Time (s),pip2(head),ap2(m2muh),ap2(b2clat),clat(cd1),clat(cd2),clat(cd3),clat(td1),clat(td2),clat(td3),clat(ref),ap2(m2muh!1).pip2(head!1),ap2(b2clat!1).clat(td1!1),ap2(b2clat!1).clat(td2!1),ap2(b2clat!1).clat(td3!1),clat(cd1!1).clat(cd2!1),clat(cd1!1).clat(cd3!1),clat(cd2!1).clat(cd3!1),clat(cd1!1).clat(cd1!1),clat(cd2!1).clat(cd2!1),clat(cd3!1).clat(cd3!1),clat(ref!1).clat(ref!1)
0,10000,177,177,192,192,192,192,192,192,192,0,0,0,0,0,0,0,0,0,0,0
0.015,9979,156,177,191,191,192,192,192,192,192,21,0,0,0,1,0,0,0,0,0,0
0.03,9968,145,177,191,190,189,192,192,192,192,32,0,0,0,1,0,1,0,0,1,0
0.045,9942,119,177,192,189,187,192,192,192,192,58,0,0,0,0,0,3,0,0,1,0
0.06,9926,103,177,192,188,186,192,192,192,192,74,0,0,0,0,0,4,0,0,1,0
0.075,9910,87,177,192,188,186,192,192,192,192,90,0,0,0,0,0,4,0,0,1,0
0.09,9901,78,177,190,188,184,192,192,192,192,99,0,0,0,0,2,4,0,0,1,0
0.105,9891,68,177,189,187,184,192,192,192,192,109,0,0,0,1,2,4,0,0,1,0
0.12,9882,59,177,190,188,186,192,192,192,192,118,0,0,0,1,1,3,0,0,1,0
0.135,9874,51,177,191,188,187,192,192,192,192,126,0,0,0,1,0,3,0,0,1,0
0.15,9866,43,177,190,188,188,192,192,192,192,134,0,0,0,1,1,3,0,0,0,0
0.165,9863,40,177,191,189,188,192,192,192,192,137,0,0,0,0,1,3,0,0,0,0
0.18,9858,35,177,191,189,188,192,192,192,192,142,0,0,0,0,1,3,0,0,0,0
0.195,9856,33,177,191,190,189,192,192,192,192,144,0,0,0,0,1,2,0,0,0,0
0.21,9855,32,177,191,191,190,192,192,192,192,145,0,0,0,0,1,1,0,0,0,0
0.225,9851,28,177,191,191,190,192,192,192,192,149,0,0,0,0,1,1,0,0,0,0
0.24,9849,26,177,190,192,190,192,192,192,192,151,0,0,0,0,2,0,0,0,0,0
0.255,9850,27,177,189,192,189,192,192,192,192,150,0,0,0,0,3,0,0,0,0,0
0.27,9847,24,177,190,192,190,192,192,192,192,153,0,0,0,0,2,0,0,0,0,0
0.285,9842,19,177,190,192,190,192,192,192,192,158,0,0,0,0,2,0,0,0,0,0
0.3,9844,21,177,189,191,190,192,192,192,192,156,0,0,0,1,2,0,0,0,0,0
0.315,9843,20,177,186,191,189,192,192,192,192,157,0,0,0,1,3,0,1,0,0,0
0.33,9844,21,177,186,191,189,192,192,192,192,156,0,0,0,1,3,0,1,0,0,0
0.345,9844,21,177,187,187,190,192,192,192,192,156,0,0,0,1,2,0,1,2,0,0
0.36,9841,18,177,186,187,189,192,192,192,192,159,0,0,0,1,3,0,1,2,0,0
0.375,9840,17,177,185,187,188,192,192,192,192,160,0,0,0,1,4,0,1,2,0,0
0.39,9839,16,177,184,186,186,192,192,192,192,161,0,0,0,1,5,1,1,2,0,0
0.405,9840,17,177,185,186,187,192,192,192,192,160,0,0,0,1,4,1,1,2,0,0
0.42,9842,19,177,186,188,186,192,192,192,192,158,0,0,0,1,5,1,0,1,0,0
0.435,9843,20,177,187,188,187,192,192,192,192,157,0,0,0,1,4,1,0,1,0,0
0.45,9842,19,177,187,188,187,192,192,192,192,158,0,0,0,1,4,1,0,1,0,0
0.465,9842,19,177,187,187,182,192,192,192,192,158,0,0,0,1,4,2,0,1,2,0
0.48,9840,17,177,183,187,184,192,192,192,192,160,0,0,0,1,4,2,2,1,1,0
0.495,9840,17,177,186,190,186,192,192,192,192,160,0,0,0,1,3,1,1,0,1,0
0.51,9840,17,177,185,189,186,192,192,192,192,160,0,0,0,2,3,1,1,0,1,0
0.525,9840,17,177,183,189,190,192,192,192,192,160,0,0,0,3,2,0,2,0,0,0
