Time (s),ap2Mem,leg
0.015,21,1
0.03,32,3
0.045,58,4
0.06,74,5
0.075,90,5
0.09,99,7
0.105,109,8
0.12,118,6
0.135,126,5
0.15,134,5
0.165,137,4
0.18,142,4
0.195,144,3
0.21,145,2
0.225,149,2
0.24,151,2
0.255,150,3
0.27,153,2
0.285,158,2
0.3,156,3
0.315,157,5
0.33,156,5
0.345,156,6
0.36,159,7
0.375,160,8
0.39,161,10
0.405,160,9
0.42,158,8
0.435,157,7
0.45,158,7
0.465,158,10
0.48,160,11
0.495,160,7
0.51,160,8
0.525,160,7
0.54,161,5
0.555,162,4
0.57,163,5
0.585,163,7
0.6,168,7
0.615,165,8
0.63,161,6
0.645,160,6
0.66,159,9
0.675,160,9
0.69,159,7
0.705,157,6
0.72,159,6
0.735,159,8
0.75,160,7
0.765,162,7
0.78,162,7
0.795,161,8
0.81,163,6
0.825,163,4
0.84,162,5
0.855,161,8
0.87,161,8
0.885,160,6
0.9,159,4
0.915,158,4
0.93,161,3
0.945,160,3
0.96,160,6
0.975,162,8
0.99,162,6
1.005,163,7
1.02,164,8
1.035,163,5
1.05,164,4
1.065,163,7
1.08,163,8
1.095,160,8
1.11,163,7
1.125,162,7
1.14,161,8
1.155,160,7
1.17,160,10
1.185,161,9
1.2,161,9
1.215,159,9
1.23,158,7
1.245,157,7
1.26,157,6
1.275,158,5
1.29,158,6
1.305,158,6
1.32,160,6
1.335,160,7
1.35,157,5
1.365,158,5
1.38,158,5
1.395,159,6
1.41,157,8
1.425,158,8
1.44,158,9
1.455,159,7
1.47,160,7
1.485,161,6
1.5,162,8
1.515,161,6
1.53,160,7
1.545,164,8
1.56,165,9
1.575,166,7
1.59,164,8
1.605,166,7
1.62,164,7
1.635,164,7
1.65,163,9
1.665,162,9
1.68,163,10
1.695,162,10
1.71,162,9
1.725,164,9
1.74,163,8
1.755,161,6
1.77,161,7
1.785,160,10
1.8,160,10
1.815,158,11
1.83,155,11
1.845,157,13
1.86,158,14
1.875,158,15
1.89,158,15
1.905,159,14
1.92,157,13
1.935,159,13
1.95,159,13
1.965,160,11
1.98,163,8
1.995,161,8
2.01,160,7
2.025,157,7
2.04,159,8
2.055,160,7
2.07,160,8
2.085,161,6
2.1,158,6
2.115,158,6
2.13,159,6
2.145,160,6
2.16,162,6
2.175,159,7
2.19,157,6
2.205,158,6
2.22,154,7
2.235,157,7
2.25,158,8
2.265,155,8
2.28,156,8
2.295,161,12
2.31,163,11
2.325,164,9
2.34,165,9
2.355,166,9
2.37,163,7
2.385,160,8
2.4,161,7
2.415,163,7
2.43,164,8
2.445,163,7
2.46,160,7
2.475,162,9
2.49,162,10
2.505,163,9
2.52,162,8
2.535,160,7
2.55,162,7
2.565,165,4
2.58,166,5
2.595,168,6
2.61,164,7
2.625,162,6
2.64,161,8
2.655,161,8
2.67,160,8
2.685,157,7
2.7,157,6
2.715,156,6
2.73,156,7
2.745,157,6
2.76,157,6
2.775,157,5
2.79,156,5
2.805,159,6
2.82,159,7
2.835,159,8
2.85,158,10
2.865,159,9
2.88,161,9
2.895,159,9
2.91,160,11
2.925,157,10
2.94,157,9
2.955,156,8
2.97,154,8
2.985,158,7
3,157,6
3.015,157,7
3.03,159,8
3.045,157,7
3.06,155,8
3.075,158,9
3.09,155,8
3.105,157,8
3.12,158,5
3.135,159,7
3.15,158,6
3.165,158,7
3.18,157,6
3.195,155,6
3.21,151,8
3.225,152,6
3.24,152,6
3.255,154,7
3.27,153,9
3.285,155,10
3.3,156,9
3.315,161,14
3.33,162,14
3.345,161,11
3.36,160,9
3.375,161,6
3.39,162,6
3.405,161,8
3.42,160,4
3.435,159,3
3.45,158,3
3.465,157,3
3.48,159,3
3.495,164,3
3.51,165,3
3.525,166,3
3.54,162,4
3.555,163,4
3.57,166,5
3.585,161,6
3.6,163,5
3.615,162,7
3.63,159,7
3.645,162,8
3.66,162,8
3.675,161,9
3.69,161,10
3.705,161,12
3.72,160,12
3.735,159,13
3.75,158,13
3.765,163,11
3.78,164,9
3.795,165,10
3.81,165,11
3.825,167,10
3.84,164,12
3.855,164,11
3.87,164,11
3.885,163,8
3.9,160,10
3.915,160,12
3.93,161,11
3.945,159,10
3.96,156,8
3.975,155,10
3.99,157,10
4.005,159,8
4.02,158,9
4.035,160,11
4.05,162,10
4.065,160,10
4.08,160,10
4.095,161,12
4.11,162,12
4.125,162,11
4.14,162,9
4.155,161,9
4.17,162,11
4.185,163,9
4.2,163,12
4.215,162,13
4.23,163,10
4.245,161,9
4.26,161,8
4.275,162,7
4.29,158,7
4.305,156,7
4.32,157,5
4.335,155,5
4.35,157,5
4.365,156,6
4.38,157,5
4.395,159,6
4.41,156,4
4.425,157,5
4.44,156,6
4.455,158,6
4.47,155,6
4.485,153,8
4.5,152,10
4.515,152,11
4.53,154,10
4.545,154,12
4.56,156,10
4.575,155,9
4.59,157,10
4.605,157,9
4.62,160,10
4.635,158,11
4.65,161,8
4.665,161,7
4.68,161,6
4.695,159,3
4.71,159,4
4.725,158,6
4.74,160,7
4.755,159,8
4.77,158,8
4.785,159,8
4.8,153,7
4.815,154,13
4.83,158,14
4.845,159,14
4.86,158,12
4.875,160,15
4.89,163,14
4.905,164,11
4.92,164,11
4.935,165,10
4.95,165,9
4.965,165,8
4.98,163,7
4.995,162,5
5.01,162,5
5.025,161,5
5.04,159,6
5.055,159,6
5.07,160,6
5.085,161,6
5.1,162,6
5.115,161,6
5.13,159,10
5.145,157,9
5.16,158,11
5.175,159,12
5.19,161,11
5.205,161,10
5.22,163,10
5.235,163,9
5.25,163,7
5.265,163,5
5.28,163,6
5.295,163,5
5.31,164,4
5.325,159,4
5.34,161,8
5.355,160,8
5.37,157,8
5.385,157,8
5.4,160,10
5.415,162,13
5.43,162,12
5.445,162,11
5.46,161,10
5.475,160,10
5.49,158,10
5.505,161,10
5.52,161,9
5.535,163,8
5.55,160,7
5.565,159,8
5.58,159,10
5.595,157,10
5.61,161,11
5.625,159,10
5.64,160,10
5.655,162,10
5.67,163,10
5.685,164,10
5.7,163,11
5.715,161,12
5.73,161,12
5.745,161,12
5.76,163,12
5.775,161,11
5.79,160,8
5.805,161,8
5.82,163,6
5.835,164,8
5.85,163,7
5.865,160,7
5.88,162,6
5.895,162,6
5.91,161,5
5.925,164,6
5.94,164,4
5.955,165,3
5.97,165,7
5.985,163,5
6,165,5
6.015,165,4
6.03,163,4
6.045,161,6
6.06,162,8
6.075,161,4
6.09,162,5
6.105,161,4
6.12,160,6
6.135,161,7
6.15,160,8
6.165,160,9
6.18,161,8
6.195,161,8
6.21,159,9
6.225,162,8
6.24,160,7
6.255,158,8
6.27,157,8
6.285,158,9
6.3,154,8
6.315,156,8
6.33,157,7
6.345,158,7
6.36,161,10
6.375,161,9
6.39,162,9
6.405,161,8
6.42,162,7
6.435,161,8
6.45,161,9
6.465,162,13
6.48,159,11
6.495,161,11
6.51,162,13
6.525,161,12
6.54,161,11
6.555,162,9
6.57,162,7
6.585,163,7
6.6,165,7
6.615,164,8
6.63,163,5
6.645,163,6
6.66,163,8
6.675,163,9
6.69,163,10
6.705,162,7
6.72,161,6
6.735,164,6
6.75,164,5
6.765,164,5
6.78,164,5
6.795,160,5
6.81,158,5
6.825,161,7
6.84,163,10
6.855,161,8
6.87,163,9
6.885,162,9
6.9,161,10
6.915,157,6
6.93,158,9
6.945,157,9
6.96,158,8
6.975,160,9
6.99,160,10
7.005,163,11
7.02,162,10
7.035,160,10
7.05,165,10
7.065,162,7
7.08,163,7
7.095,164,9
7.11,163,9
7.125,162,8
7.14,163,7
7.155,164,5
7.17,163,4
7.185,164,4
7.2,166,6
7.215,165,7
7.23,165,8
7.245,165,6
7.26,166,7
7.275,167,7
7.29,167,7
7.305,167,8
7.32,168,8
7.335,164,7
7.35,158,8
7.365,161,7
7.38,162,7
7.395,160,10
7.41,161,11
7.425,164,11
7.44,160,10
7.455,159,11
7.47,163,11
7.485,163,8
7.5,162,5
7.515,162,5
7.53,162,5
7.545,160,6
7.56,160,5
7.575,160,5
7.59,161,4
7.605,162,4
7.62,163,4
7.635,164,2
7.65,161,2
7.665,162,3
7.68,163,4
7.695,163,6
7.71,164,5
7.725,164,5
7.74,164,6
7.755,165,6
7.77,168,5
7.785,167,7
7.8,165,5
7.815,161,5
7.83,161,3
7.845,161,3
7.86,160,2
7.875,162,3
7.89,165,4
7.905,163,5
7.92,160,4
7.935,161,6
7.95,163,5
7.965,165,5
7.98,162,5
7.995,165,6
8.01,163,8
8.025,164,9
8.04,164,9
8.055,162,11
8.07,163,9
8.085,161,7
8.1,160,8
8.115,160,9
8.13,160,7
8.145,161,6
8.16,163,7
8.175,162,8
8.19,163,4
8.205,166,4
8.22,164,4
8.235,165,4
8.25,162,4
8.265,166,7
8.28,166,8
8.295,166,9
8.31,166,8
8.325,165,7
8.34,166,7
8.355,166,6
8.37,166,8
8.385,164,7
8.4,162,7
8.415,161,6
8.43,161,6
8.445,165,4
8.46,166,4
8.475,162,4
