Time (s): 0
200	dode: 1. 
Time (s): 0.001
166	dode: 1. 
17	dode: 2. 
Time (s): 0.002
146	dode: 1. 
19	dode: 2. 
1	dode: 6. 
2	dode: 3. 
1	dode: 4. 
Time (s): 0.003
124	dode: 1. 
22	dode: 2. 
1	dode: 6. 
6	dode: 3. 
2	dode: 4. 
Time (s): 0.004
109	dode: 1. 
21	dode: 2. 
1	dode: 6. 
7	dode: 3. 
2	dode: 5. 
1	dode: 4. 
1	dode: 8. 
Time (s): 0.005
94	dode: 1. 
26	dode: 2. 
1	dode: 6. 
7	dode: 3. 
2	dode: 4. 
2	dode: 5. 
1	dode: 9. 
Time (s): 0.006
81	dode: 1. 
24	dode: 2. 
1	dode: 6. 
8	dode: 3. 
3	dode: 4. 
4	dode: 5. 
1	dode: 9. 
Time (s): 0.007
75	dode: 1. 
23	dode: 2. 
2	dode: 6. 
7	dode: 3. 
3	dode: 4. 
5	dode: 5. 
1	dode: 9. 
Time (s): 0.008
68	dode: 1. 
25	dode: 2. 
2	dode: 6. 
1	dode: 7. 
7	dode: 3. 
5	dode: 5. 
2	dode: 4. 
1	dode: 9. 
Time (s): 0.009
64	dode: 1. 
24	dode: 2. 
2	dode: 6. 
1	dode: 7. 
9	dode: 3. 
5	dode: 5. 
2	dode: 4. 
1	dode: 9. 
Time (s): 0.01
59	dode: 1. 
23	dode: 2. 
5	dode: 6. 
3	dode: 4. 
1	dode: 7. 
9	dode: 3. 
2	dode: 5. 
1	dode: 9. 
Time (s): 0.011
51	dode: 1. 
20	dode: 2. 
5	dode: 6. 
10	dode: 3. 
1	dode: 7. 
5	dode: 5. 
2	dode: 4. 
1	dode: 9. 
Time (s): 0.012
46	dode: 1. 
21	dode: 2. 
5	dode: 6. 
10	dode: 3. 
1	dode: 7. 
4	dode: 5. 
1	dode: 8. 
2	dode: 4. 
1	dode: 9. 
Time (s): 0.013
42	dode: 1. 
18	dode: 2. 
4	dode: 5. 
5	dode: 6. 
1	dode: 7. 
9	dode: 3. 
1	dode: 8. 
3	dode: 4. 
2	dode: 9. 
Time (s): 0.014
36	dode: 1. 
4	dode: 7. 
5	dode: 5. 
17	dode: 2. 
3	dode: 6. 
7	dode: 3. 
3	dode: 4. 
1	dode: 8. 
2	dode: 9. 
Time (s): 0.015
3	dode: 8. 
36	dode: 1. 
3	dode: 7. 
4	dode: 5. 
13	dode: 2. 
2	dode: 9. 
7	dode: 3. 
4	dode: 4. 
3	dode: 6. 
Time (s): 0.016
10	dode: 2. 
28	dode: 1. 
2	dode: 7. 
3	dode: 5. 
3	dode: 9. 
6	dode: 4. 
8	dode: 3. 
4	dode: 6. 
3	dode: 8. 
Time (s): 0.017
9	dode: 2. 
27	dode: 1. 
2	dode: 7. 
3	dode: 5. 
4	dode: 9. 
5	dode: 4. 
8	dode: 3. 
5	dode: 6. 
2	dode: 8. 
Time (s): 0.018
8	dode: 2. 
24	dode: 1. 
1	dode: 7. 
3	dode: 5. 
5	dode: 9. 
9	dode: 3. 
5	dode: 4. 
5	dode: 6. 
2	dode: 8. 
Time (s): 0.019
5	dode: 2. 
23	dode: 1. 
3	dode: 7. 
1	dode: 5. 
6	dode: 9. 
9	dode: 3. 
2	dode: 4. 
6	dode: 6. 
2	dode: 8. 
Time (s): 0.02
2	dode: 4. 
23	dode: 1. 
7	dode: 9. 
1	dode: 5. 
4	dode: 2. 
9	dode: 3. 
2	dode: 7. 
6	dode: 6. 
2	dode: 8. 
Time (s): 0.021
2	dode: 4. 
20	dode: 1. 
5	dode: 9. 
1	dode: 5. 
5	dode: 2. 
8	dode: 3. 
1	dode: 12. 
1	dode: 10. 
2	dode: 7. 
6	dode: 6. 
2	dode: 8. 
Time (s): 0.022
2	dode: 4. 
18	dode: 1. 
1	dode: 5. 
5	dode: 2. 
4	dode: 9. 
8	dode: 3. 
1	dode: 12. 
2	dode: 10. 
1	dode: 7. 
6	dode: 6. 
3	dode: 8. 
Time (s): 0.023
3	dode: 4. 
16	dode: 1. 
6	dode: 6. 
5	dode: 2. 
5	dode: 9. 
6	dode: 3. 
1	dode: 12. 
2	dode: 10. 
1	dode: 7. 
3	dode: 8. 
Time (s): 0.024
3	dode: 4. 
16	dode: 1. 
6	dode: 6. 
5	dode: 2. 
5	dode: 9. 
6	dode: 3. 
1	dode: 12. 
2	dode: 10. 
1	dode: 7. 
3	dode: 8. 
Time (s): 0.025
4	dode: 4. 
14	dode: 1. 
6	dode: 6. 
5	dode: 2. 
6	dode: 9. 
5	dode: 3. 
1	dode: 12. 
2	dode: 10. 
1	dode: 7. 
2	dode: 8. 
Time (s): 0.026
4	dode: 4. 
13	dode: 1. 
6	dode: 6. 
5	dode: 2. 
6	dode: 9. 
5	dode: 3. 
1	dode: 12. 
3	dode: 8. 
2	dode: 10. 
